"","CLNT_ID","CLNT_AGE","CLNT_GENDER"
"23959",556519,30,"F"
"24009",635130,30,"F"
"24120",645984,30,"F"
"24337",189989,30,"F"
"24439",357681,30,"F"
"24501",208140,30,"F"
"24613",380221,30,"F"
"25503",372910,30,"F"
"25750",511391,30,"F"
"26071",340246,30,"F"
"26294",2290018,30,"F"
"26694",919844,30,"F"
"27581",1706405,30,"F"
"28035",1255186,30,"F"
"28351",1363262,30,"F"
"28659",1673876,30,"F"
"29365",1110238,30,"F"
"29378",909410,30,"F"
"29666",1372040,30,"F"
"30151",2486411,30,"F"
"30163",2494618,30,"F"
"30250",2383026,30,"F"
"30372",2398415,30,"F"
"30767",4271261,30,"F"
"30865",4308460,30,"F"
"30932",4316492,30,"F"
"31161",4392132,30,"F"
"31166",4397732,30,"F"
"31674",2714887,30,"F"
"31761",2907100,30,"F"
"32567",2268765,30,"F"
"32794",1813822,30,"F"
"32800",1820673,30,"F"
"32876",2816985,30,"F"
"32980",2819875,30,"F"
"33098",2936807,30,"F"
"33252",1905493,30,"F"
"33303",1921917,30,"F"
"33472",1930260,30,"F"
"33627",1956767,30,"F"
"33940",6267329,30,"F"
"33989",6512466,30,"F"
"34278",6567946,30,"F"
"34595",1287858,30,"F"
"34823",1504828,30,"F"
"35000",1535039,30,"F"
"35027",1406572,30,"F"
"35144",1624640,30,"F"
"35501",625260,30,"F"
"35673",2598071,30,"F"
"35834",2617267,30,"F"
"35987",2934831,30,"F"
"36087",2842263,30,"F"
"36949",2187855,30,"F"
"37353",1773806,30,"F"
"37574",1593583,30,"F"
"37736",2795769,30,"F"
"37879",2873762,30,"F"
"38038",3052512,30,"F"
"38107",2969867,30,"F"
"38350",3163516,30,"F"
"39127",2806512,30,"F"
"39480",1446239,30,"F"
"39791",3999985,30,"F"
"40512",1874980,30,"F"
"41133",2022142,30,"F"
"41183",2111100,30,"F"
"41314",2833460,30,"F"
"41562",3030657,30,"F"
"41614",3049771,30,"F"
"41625",3051697,30,"F"
"41707",2957705,30,"F"
"41775",3067513,30,"F"
"42169",5865440,30,"F"
"42185",5938345,30,"F"
"42478",6052188,30,"F"
"42507",5956470,30,"F"
"42540",2628582,30,"F"
"42608",2445629,30,"F"
"42787",2536671,30,"F"
"42883",2742997,30,"F"
"42900",2741864,30,"F"
"42972",2562980,30,"F"
"43488",4166633,30,"F"
"43633",3673946,30,"F"
"43799",3689801,30,"F"
"43850",3772677,30,"F"
"43917",2334623,30,"F"
"44051",2248662,30,"F"
"44228",2659611,30,"F"
"44823",3767647,30,"F"
"44996",2998024,30,"F"
"45651",3138012,30,"F"
"45797",3330970,30,"F"
"46059",2899534,30,"F"
"46212",3440651,30,"F"
"46242",3453747,30,"F"
"46607",2766477,30,"F"
"47214",4052445,30,"F"
"47529",2489024,30,"F"
"47536",2495623,30,"F"
"47856",73077,30,"F"
"47943",99382,30,"F"
"47982",6110,30,"F"
"48318",129433,30,"F"
"48433",54622,30,"F"
"48438",54888,30,"F"
"48460",61431,30,"F"
"48787",167944,30,"F"
"49133",5120580,30,"F"
"49209",4001741,30,"F"
"49349",3980012,30,"F"
"49538",3450438,30,"F"
"49790",4121467,30,"F"
"49977",4443259,30,"F"
"50064",4510846,30,"F"
"50237",4526250,30,"F"
"50327",4562727,30,"F"
"50352",4536292,30,"F"
"50380",4539727,30,"F"
"50848",3428609,30,"F"
"50856",3430105,30,"F"
"51757",3838729,30,"F"
"52039",73309,30,"F"
"52514",5006910,30,"F"
"52931",5140945,30,"F"
"53051",5152208,30,"F"
"53711",4727532,30,"F"
"53714",4727839,30,"F"
"53737",4740333,30,"F"
"54100",5381500,30,"F"
"54566",3413409,30,"F"
"54636",3388315,30,"F"
"54760",3396004,30,"F"
"56110",5043305,30,"F"
"56384",4173727,30,"F"
"56684",4256762,30,"F"
"56705",4260703,30,"F"
"56958",4313807,30,"F"
"57158",2606839,30,"F"
"57526",2927852,30,"F"
"57792",3139824,30,"F"
"57875",3304641,30,"F"
"58099",3233742,30,"F"
"58293",3255740,30,"F"
"58326",3266697,30,"F"
"58457",13802,30,"F"
"58947",5257848,30,"F"
"59218",5358010,30,"F"
"59724",4551209,30,"F"
"60284",4270436,30,"F"
"60366",4310522,30,"F"
"60370",4312076,30,"F"
"60416",4348166,30,"F"
"60816",651006,30,"F"
"61146",5439005,30,"F"
"61628",6463557,30,"F"
"61639",6472046,30,"F"
"61648",6469745,30,"F"
"62041",6502547,30,"F"
"62625",5522483,30,"F"
"63391",1075588,30,"F"
"63642",991788,30,"F"
"63899",3927213,30,"F"
"63914",3928223,30,"F"
"64665",244058,30,"F"
"64981",2200756,30,"F"
"65011",2013274,30,"F"
"65131",4694191,30,"F"
"65580",3876529,30,"F"
"65914",5395251,30,"F"
"66432",5793672,30,"F"
"66519",4396389,30,"F"
"66882",5064209,30,"F"
"67181",5613914,30,"F"
"67612",5592169,30,"F"
"67776",4849913,30,"F"
"67785",4583055,30,"F"
"67927",121678,30,"F"
"68322",147474,30,"F"
"68492",165150,30,"F"
"68561",180236,30,"F"
"68731",369329,30,"F"
"68978",411058,30,"F"
"69316",4614041,30,"F"
"69458",4678480,30,"F"
"69730",686366,30,"F"
"70231",811392,30,"F"
"70251",818799,30,"F"
"70728",5272627,30,"F"
"70752",5275663,30,"F"
"71072",5311921,30,"F"
"71282",242936,30,"F"
"72905",572669,30,"F"
"72925",583215,30,"F"
"72928",585947,30,"F"
"73271",5300969,30,"F"
"73331",5378475,30,"F"
"73449",5393733,30,"F"
"73837",5773115,30,"F"
"75520",2178040,30,"F"
"75590",1998193,30,"F"
"75602",1998947,30,"F"
"75717",2477771,30,"F"
"75825",5736660,30,"F"
"76164",5913226,30,"F"
"76239",5932894,30,"F"
"76242",5927343,30,"F"
"77900",6564939,30,"F"
"77902",6559592,30,"F"
"78185",6075247,30,"F"
"78295",5997716,30,"F"
"78319",6073142,30,"F"
"78830",555022,30,"F"
"79112",5516955,30,"F"
"79163",5445194,30,"F"
"79269",5604641,30,"F"
"79375",5546677,30,"F"
"79461",5623407,30,"F"
"80258",2325146,30,"F"
"81308",974031,30,"F"
"81548",810739,30,"F"
"81627",624626,30,"F"
"81790",907544,30,"F"
"81860",1000021,30,"F"
"81926",1199899,30,"F"
"81997",1004985,30,"F"
"82317",1213811,30,"F"
"82858",2248649,30,"F"
"82875",2359901,30,"F"
"83640",378611,30,"F"
"83807",3526008,30,"F"
"84197",3621975,30,"F"
"84582",4514887,30,"F"
"84703",4554163,30,"F"
"85423",4209835,30,"F"
"85590",4230881,30,"F"
"85835",4298991,30,"F"
"85913",4342995,30,"F"
"86203",4371074,30,"F"
"86425",734830,30,"F"
"86534",946207,30,"F"
"86722",4786562,30,"F"
"86827",4818702,30,"F"
"86915",4832436,30,"F"
"87047",4870320,30,"F"
"87048",4824015,30,"F"
"87066",4904973,30,"F"
"87188",4881252,30,"F"
"87362",4900750,30,"F"
"87667",6042980,30,"F"
"87746",6011491,30,"F"
"87882",6177787,30,"F"
"87927",6095599,30,"F"
"88766",537219,30,"F"
"88892",348356,30,"F"
"89354",64304,30,"F"
"89469",1071115,30,"F"
"89497",868063,30,"F"
"89678",899160,30,"F"
"89747",1106103,30,"F"
"89797",1113924,30,"F"
"89859",1386417,30,"F"
"89948",1391781,30,"F"
"90346",1506111,30,"F"
"90412",2653735,30,"F"
"90438",2661007,30,"F"
"90834",2862784,30,"F"
"90985",1272602,30,"F"
"91223",4003408,30,"F"
"91320",2671341,30,"F"
"91400",2771232,30,"F"
"91439",2680994,30,"F"
"91676",2873703,30,"F"
"91978",709425,30,"F"
"92032",723128,30,"F"
"92088",923489,30,"F"
"92508",852558,30,"F"
"92573",864802,30,"F"
"92760",1078725,30,"F"
"92816",1086899,30,"F"
"93062",410143,30,"F"
"93500",1171420,30,"F"
"93522",1179126,30,"F"
"93592",1385740,30,"F"
"93737",1672588,30,"F"
"93932",1772882,30,"F"
"94010",1589950,30,"F"
"94050",1775783,30,"F"
"94064",1782547,30,"F"
"94219",1800973,30,"F"
"94571",690931,30,"F"
"95065",6208790,30,"F"
"95115",6220497,30,"F"
"95139",6225246,30,"F"
"95768",441296,30,"F"
"96357",597306,30,"F"
"96804",1184034,30,"F"
"97729",6182378,30,"F"
"98358",913582,30,"F"
"99180",1075573,30,"F"
"99208",1081119,30,"F"
"99500",1121859,30,"F"
"100003",1339167,30,"F"
"100541",1678374,30,"F"
"101557",4508933,30,"F"
"101605",4519689,30,"F"
"101737",4532555,30,"F"
"101798",4551946,30,"F"
"102006",3054184,30,"F"
"102054",3066297,30,"F"
"102112",2977256,30,"F"
"102337",3172172,30,"F"
"102583",1477583,30,"F"
"102603",672951,30,"F"
"102630",680828,30,"F"
"103025",604327,30,"F"
"103623",6376726,30,"F"
"103679",1711180,30,"F"
"103701",1929669,30,"F"
"103926",86837,30,"F"
"104043",103087,30,"F"
"104107",105539,30,"F"
"104317",132583,30,"F"
"104814",5441128,30,"F"
"105046",6352711,30,"F"
"105649",6004101,30,"F"
"105845",6287724,30,"F"
"105910",6442984,30,"F"
"106008",6459496,30,"F"
"106204",6481860,30,"F"
"106486",1487054,30,"F"
"106640",1507931,30,"F"
"106748",1410089,30,"F"
"106873",1422944,30,"F"
"107233",2442317,30,"F"
"107717",677867,30,"F"
"107843",573382,30,"F"
"107871",692942,30,"F"
"108196",5805728,30,"F"
"108403",5901477,30,"F"
"108946",6213644,30,"F"
"109296",1142569,30,"F"
"109668",3575238,30,"F"
"109911",2387118,30,"F"
"109961",2505887,30,"F"
"109994",2508670,30,"F"
"110278",2427774,30,"F"
"110811",2060134,30,"F"
"111512",2838115,30,"F"
"111545",2847465,30,"F"
"112142",3306149,30,"F"
"112262",3227691,30,"F"
"112519",3279364,30,"F"
"113692",2024140,30,"F"
"114102",2329205,30,"F"
"114922",3976008,30,"F"
"115678",6491688,30,"F"
"116376",4608960,30,"F"
"116977",8052,30,"F"
"116981",21619,30,"F"
"117012",103200,30,"F"
"117165",35068,30,"F"
"117563",158435,30,"F"
"117806",269549,30,"F"
"117867",3358366,30,"F"
"118087",3462543,30,"F"
"118212",2129819,30,"F"
"118485",524956,30,"F"
"118748",543221,30,"F"
"118803",348466,30,"F"
"118964",1712347,30,"F"
"119101",1930155,30,"F"
"119216",1947217,30,"F"
"119485",6435988,30,"F"
"119694",1496613,30,"F"
"121382",2644804,30,"F"
"121974",2694295,30,"F"
"122265",1404479,30,"F"
"122488",3797159,30,"F"
"122490",3797536,30,"F"
"122589",3859711,30,"F"
"122682",3815342,30,"F"
"122753",3882622,30,"F"
"123024",4203090,30,"F"
"123030",4211674,30,"F"
"123114",5313075,30,"F"
"123455",5421248,30,"F"
"123487",6264910,30,"F"
"123511",6274345,30,"F"
"123597",6454471,30,"F"
"123664",1301554,30,"F"
"123993",1540349,30,"F"
"124087",1620200,30,"F"
"124514",1551867,30,"F"
"124966",5905889,30,"F"
"125100",279402,30,"F"
"126007",2062258,30,"F"
"126212",995609,30,"F"
"126481",1698699,30,"F"
"126644",1986623,30,"F"
"126682",1993150,30,"F"
"127054",2108222,30,"F"
"127291",2329118,30,"F"
"127660",2980782,30,"F"
"128217",2674611,30,"F"
"128321",2873551,30,"F"
"128583",3008874,30,"F"
"128631",3092519,30,"F"
"128665",3178105,30,"F"
"128757",3099381,30,"F"
"129072",6269110,30,"F"
"129446",1599200,30,"F"
"129694",1896170,30,"F"
"130063",3763107,30,"F"
"130210",2869346,30,"F"
"130766",5165187,30,"F"
"130940",5260811,30,"F"
"130993",5265901,30,"F"
"131292",4634778,30,"F"
"131785",1630097,30,"F"
"131792",1636031,30,"F"
"132245",2572852,30,"F"
"133130",6475051,30,"F"
"133381",6498956,30,"F"
"134567",2300516,30,"F"
"134636",2391435,30,"F"
"134925",2418089,30,"F"
"135120",4395051,30,"F"
"135214",4436775,30,"F"
"135352",2254069,30,"F"
"135518",2272302,30,"F"
"135769",2252161,30,"F"
"135903",2914028,30,"F"
"135971",2812842,30,"F"
"136216",3026915,30,"F"
"136390",3043441,30,"F"
"136486",2951760,30,"F"
"136965",2092409,30,"F"
"137124",2175615,30,"F"
"137147",2184535,30,"F"
"137333",3888805,30,"F"
"137480",3897168,30,"F"
"137524",3911124,30,"F"
"138036",4053516,30,"F"
"138043",4056032,30,"F"
"138703",1677797,30,"F"
"139180",4483248,30,"F"
"139272",4453739,30,"F"
"140045",3005558,30,"F"
"140181",3362318,30,"F"
"140573",3486524,30,"F"
"140597",3418149,30,"F"
"141139",4763551,30,"F"
"141462",4801636,30,"F"
"141651",4828982,30,"F"
"141716",4914361,30,"F"
"141819",4862996,30,"F"
"141843",4923278,30,"F"
"141979",3435773,30,"F"
"142070",3374717,30,"F"
"142359",5073940,30,"F"
"143275",3365756,30,"F"
"143413",3459280,30,"F"
"143519",3457698,30,"F"
"143885",1206706,30,"F"
"143935",1008094,30,"F"
"144276",1131393,30,"F"
"144790",2207028,30,"F"
"145119",2302517,30,"F"
"146197",6420478,30,"F"
"146477",3940987,30,"F"
"146868",4028875,30,"F"
"146889",4035142,30,"F"
"146996",3668330,30,"F"
"147249",3710455,30,"F"
"147330",3789429,30,"F"
"147570",1023652,30,"F"
"147873",1136849,30,"F"
"147997",1146747,30,"F"
"148356",3721509,30,"F"
"148398",3723715,30,"F"
"149120",4587318,30,"F"
"149343",4651974,30,"F"
"150122",3290578,30,"F"
"150147",3564976,30,"F"
"150308",3993988,30,"F"
"150491",4004684,30,"F"
"150493",4014339,30,"F"
"150521",4023660,30,"F"
"150685",4036075,30,"F"
"150792",4089677,30,"F"
"150901",4097000,30,"F"
"151222",4487334,30,"F"
"151529",3731619,30,"F"
"151974",521390,30,"F"
"152256",534977,30,"F"
"152306",550197,30,"F"
"152969",3429459,30,"F"
"153407",3605592,30,"F"
"153990",4494044,30,"F"
"154463",2100996,30,"F"
"154555",2367760,30,"F"
"155515",6492133,30,"F"
"155818",6572029,30,"F"
"155862",6526880,30,"F"
"156106",5569185,30,"F"
"156559",3494249,30,"F"
"156788",3531703,30,"F"
"157397",5320630,30,"F"
"157634",3842203,30,"F"
"157953",4220901,30,"F"
"158056",4276770,30,"F"
"158630",4311903,30,"F"
"158720",4353353,30,"F"
"158808",4328157,30,"F"
"159623",3717902,30,"F"
"159727",5109403,30,"F"
"159784",5203752,30,"F"
"159802",5203056,30,"F"
"160088",5435817,30,"F"
"160145",5445210,30,"F"
"160342",5541449,30,"F"
"161207",3130909,30,"F"
"162176",1098332,30,"F"
"162311",923118,30,"F"
"162558",762562,30,"F"
"162633",965798,30,"F"
"162723",853566,30,"F"
"162735",853725,30,"F"
"162929",874941,30,"F"
"162961",880512,30,"F"
"163248",6026114,30,"F"
"163745",4589500,30,"F"
"164218",4897666,30,"F"
"164356",5054810,30,"F"
"164527",3770501,30,"F"
"164562",3803517,30,"F"
"164664",3864697,30,"F"
"164923",1707985,30,"F"
"165200",4985154,30,"F"
"165362",3476989,30,"F"
"165658",6132643,30,"F"
"165859",6329870,30,"F"
"166105",6247218,30,"F"
"166169",3552649,30,"F"
"166613",3734530,30,"F"
"166793",3755178,30,"F"
"166808",3765257,30,"F"
"167261",5157619,30,"F"
"167575",4343092,30,"F"
"167580",4351900,30,"F"
"167707",4357452,30,"F"
"167733",4366433,30,"F"
"167797",4319186,30,"F"
"167871",4378195,30,"F"
"168030",4610686,30,"F"
"168543",4807706,30,"F"
"168918",4580273,30,"F"
"169030",4650239,30,"F"
"169223",5758430,30,"F"
"169392",5781421,30,"F"
"169571",5797972,30,"F"
"169853",5069661,30,"F"
"169929",5020744,30,"F"
"170015",5094713,30,"F"
"170274",5222171,30,"F"
"170876",5370049,30,"F"
"171234",1511306,30,"F"
"171377",1417186,30,"F"
"171583",6136435,30,"F"
"172326",2868538,30,"F"
"172467",3071907,30,"F"
"172637",2975932,30,"F"
"172797",6052538,30,"F"
"172839",5968641,30,"F"
"172903",5977269,30,"F"
"173181",6083023,30,"F"
"173301",6013805,30,"F"
"174068",6099845,30,"F"
"174125",3872134,30,"F"
"174177",3886842,30,"F"
"174655",4280580,30,"F"
"175011",4319517,30,"F"
"175098",5292718,30,"F"
"175122",5288985,30,"F"
"175126",5289404,30,"F"
"175158",5299204,30,"F"
"175200",4367247,30,"F"
"175253",4381525,30,"F"
"175398",5436093,30,"F"
"175681",5415718,30,"F"
"175757",5697003,30,"F"
"175781",5767728,30,"F"
"176070",498898,30,"F"
"176423",542860,30,"F"
"176960",4706828,30,"F"
"177151",4740170,30,"F"
"177480",4911363,30,"F"
"177503",4854923,30,"F"
"177655",4876968,30,"F"
"178081",5004790,30,"F"
"178599",5954485,30,"F"
"178685",6044345,30,"F"
"179482",3266690,30,"F"
"180336",5379037,30,"F"
"180608",5755050,30,"F"
"180976",1713175,30,"F"
"181210",747330,30,"F"
"181349",756490,30,"F"
"181625",1054308,30,"F"
"181717",873523,30,"F"
"181802",1077148,30,"F"
"182189",3090999,30,"F"
"182301",3103715,30,"F"
"182337",3109642,30,"F"
"182433",3295712,30,"F"
"182537",3130820,30,"F"
"182887",4733474,30,"F"
"183322",4914794,30,"F"
"183641",6126890,30,"F"
"184987",5537150,30,"F"
"185519",5669423,30,"F"
"186500",1116799,30,"F"
"186925",1249308,30,"F"
"187137",1161626,30,"F"
"188050",6056251,30,"F"
"188536",6012440,30,"F"
"188539",6006999,30,"F"
"188836",2672834,30,"F"
"189044",2880430,30,"F"
"189232",1797457,30,"F"
"189835",3659831,30,"F"
"190080",5772389,30,"F"
"190494",5817518,30,"F"
"190528",5822655,30,"F"
"190680",5834099,30,"F"
"191798",2114775,30,"F"
"192603",230074,30,"F"
"192781",6293160,30,"F"
"192954",6490351,30,"F"
"192998",6394489,30,"F"
"193005",6400718,30,"F"
"193174",6583365,30,"F"
"193357",6507361,30,"F"
"193386",6514765,30,"F"
"193610",6350902,30,"F"
"193691",6268206,30,"F"
"194521",774847,30,"F"
"194583",580196,30,"F"
"194621",775263,30,"F"
"194963",702683,30,"F"
"195146",4873325,30,"F"
"195250",4874106,30,"F"
"195328",4951230,30,"F"
"195344",4952523,30,"F"
"195687",5505477,30,"F"
"195891",5461159,30,"F"
"195951",5547102,30,"F"
"196370",5664774,30,"F"
"196383",5663744,30,"F"
"196426",5742685,30,"F"
"196676",3336528,30,"F"
"196693",3341045,30,"F"
"196943",1676631,30,"F"
"196957",1758154,30,"F"
"197824",4315970,30,"F"
"198313",25189,30,"F"
"198460",126723,30,"F"
"199766",2472128,30,"F"
"199903",2495035,30,"F"
"200120",2596392,30,"F"
"200256",2604436,30,"F"
"200442",2803539,30,"F"
"200919",5151464,30,"F"
"201234",6370927,30,"F"
"201518",6406085,30,"F"
"201897",2367871,30,"F"
"201992",2273399,30,"F"
"202430",2282248,30,"F"
"202557",2315422,30,"F"
"202862",2445256,30,"F"
"203611",6032313,30,"F"
"203909",6069034,30,"F"
"203972",6080610,30,"F"
"204729",4894390,30,"F"
"205084",2716705,30,"F"
"205222",3083114,30,"F"
"205350",3087997,30,"F"
"205862",3320363,30,"F"
"206849",1400250,30,"F"
"207808",5431564,30,"F"
"207820",5428726,30,"F"
"207926",5503799,30,"F"
"208204",5548015,30,"F"
"208519",3369736,30,"F"
"208559",3437840,30,"F"
"208628",3384091,30,"F"
"208675",2830452,30,"F"
"208748",203429,30,"F"
"208853",199557,30,"F"
"208916",289644,30,"F"
"208929",290455,30,"F"
"209192",512753,30,"F"
"209419",337135,30,"F"
"209935",932170,30,"F"
"210233",3015233,30,"F"
"210480",1948802,30,"F"
"210844",2068090,30,"F"
"211255",3984661,30,"F"
"211319",4041616,30,"F"
"211837",3393297,30,"F"
"211925",3464214,30,"F"
"212035",3418563,30,"F"
"213834",6526086,30,"F"
"213984",6553074,30,"F"
"214074",6204404,30,"F"
"214385",6141565,30,"F"
"214443",5470225,30,"F"
"214506",5397804,30,"F"
"214659",6431357,30,"F"
"214729",6515250,30,"F"
"215486",3268990,30,"F"
"216065",4091906,30,"F"
"216234",4148586,30,"F"
"216360",4218822,30,"F"
"216526",4240041,30,"F"
"216534",4245686,30,"F"
"216671",1659442,30,"F"
"217165",1782829,30,"F"
"217300",1598252,30,"F"
"217324",1611668,30,"F"
"217364",1805463,30,"F"
"217623",1980031,30,"F"
"217754",2188585,30,"F"
"218674",3831557,30,"F"
"218897",3902384,30,"F"
"218919",3907322,30,"F"
"219085",4006418,30,"F"
"219444",565914,30,"F"
"219458",567604,30,"F"
"219470",574370,30,"F"
"221019",4415873,30,"F"
"221079",4434320,30,"F"
"221160",4482277,30,"F"
"221395",4476672,30,"F"
"222707",2659319,30,"F"
"222800",2563375,30,"F"
"223398",5932365,30,"F"
"223770",6482644,30,"F"
"224903",2482572,30,"F"
"225196",1719420,30,"F"
"225243",1735140,30,"F"
"225397",1549676,30,"F"
"225605",1770672,30,"F"
"225770",1597930,30,"F"
"226028",6026933,30,"F"
"226101",5873631,30,"F"
"227818",1741416,30,"F"
"228082",2032368,30,"F"
"228350",1870006,30,"F"
"228520",1255245,30,"F"
"228787",6134445,30,"F"
"229164",6230699,30,"F"
"229358",6253802,30,"F"
"229434",6354941,30,"F"
"229450",6356120,30,"F"
"229588",6504125,30,"F"
"230292",431795,30,"F"
"230779",482421,30,"F"
"230955",586016,30,"F"
"231062",796134,30,"F"
"232204",5371755,30,"F"
"232282",5318311,30,"F"
"233077",3228188,30,"F"
"233209",3336676,30,"F"
"233619",4619476,30,"F"
"233901",2253317,30,"F"
"234508",530757,30,"F"
"236578",2080550,30,"F"
"236631",5648809,30,"F"
"236655",4548144,30,"F"
"237101",5684899,30,"F"
"237388",5795659,30,"F"
"237766",5907773,30,"F"
"238032",1152389,30,"F"
"239086",3173535,30,"F"
"239258",6114884,30,"F"
"239693",6157257,30,"F"
"240106",898350,30,"F"
"240422",1202793,30,"F"
"240843",2788615,30,"F"
"241188",2720108,30,"F"
"241481",1348504,30,"F"
"241784",3456926,30,"F"
"241897",3401249,30,"F"
"242427",2447059,30,"F"
"242575",2655822,30,"F"
"242613",2539882,30,"F"
"242725",2743344,30,"F"
"243239",2266095,30,"F"
"243524",4161152,30,"F"
"243954",4220881,30,"F"
"243986",4182273,30,"F"
"244139",4192455,30,"F"
"244789",677543,30,"F"
"244848",489728,30,"F"
"244858",491893,30,"F"
"245048",591463,30,"F"
"245188",609458,30,"F"
"245542",1725615,30,"F"
"245727",1746232,30,"F"
"245965",1974435,30,"F"
"246089",2274523,30,"F"
"246467",603625,30,"F"
"246480",607791,30,"F"
"246523",615110,30,"F"
"246620",831698,30,"F"
"246643",2923622,30,"F"
"246977",2326740,30,"F"
"247243",6011907,30,"F"
"247429",6477144,30,"F"
"247513",6399977,30,"F"
"247597",6411550,30,"F"
"248058",918147,30,"F"
"248261",941030,30,"F"
"248449",967049,30,"F"
"248700",5001915,30,"F"
"248984",5097663,30,"F"
"249148",2914080,30,"F"
"250102",42322,30,"F"
"250182",115714,30,"F"
"250832",1369901,30,"F"
"251137",195541,30,"F"
"251361",3483529,30,"F"
"251398",3419854,30,"F"
"251763",3544551,30,"F"
"252573",1584850,30,"F"
"252960",1706209,30,"F"
"253057",2172464,30,"F"
"253080",2172417,30,"F"
"253334",2017378,30,"F"
"253462",2026195,30,"F"
"253874",4325939,30,"F"
"254892",5786398,30,"F"
"254995",5725678,30,"F"
"255690",1351618,30,"F"
"255712",1354847,30,"F"
"256399",2510115,30,"F"
"256466",1293888,30,"F"
"256501",1484626,30,"F"
"257641",5764306,30,"F"
"257671",5773821,30,"F"
"257870",863485,30,"F"
"257977",1069590,30,"F"
"258090",2899032,30,"F"
"258543",2860522,30,"F"
"258560",2861009,30,"F"
"258570",2859372,30,"F"
"258739",2946294,30,"F"
"258940",3071936,30,"F"
"258946",3066314,30,"F"
"258970",2775143,30,"F"
"259116",2787612,30,"F"
"259453",3433031,30,"F"
"259547",4438285,30,"F"
"259646",4493807,30,"F"
"260206",3987824,30,"F"
"260265",4023605,30,"F"
"260278",4016517,30,"F"
"260442",4037327,30,"F"
"260700",3335788,30,"F"
"260738",3240948,30,"F"
"260918",2337196,30,"F"
"261135",2366370,30,"F"
"261429",4174131,30,"F"
"261453",4210077,30,"F"
"261828",6125536,30,"F"
"262173",6160096,30,"F"
"262219",5998987,30,"F"
"262490",6092544,30,"F"
"262623",6204667,30,"F"
"263168",6259368,30,"F"
"263557",2090869,30,"F"
"263608",1971857,30,"F"
"264095",4001835,30,"F"
"264325",2394227,30,"F"
"264415",2597673,30,"F"
"264460",2610403,30,"F"
"264766",5843797,30,"F"
"264783",5852206,30,"F"
"264912",5943981,30,"F"
"265013",5879003,30,"F"
"265230",4552781,30,"F"
"265497",4636834,30,"F"
"265583",4602008,30,"F"
"266095",4759152,30,"F"
"266104",4836878,30,"F"
"266854",3719663,30,"F"
"267061",3934517,30,"F"
"267092",3893126,30,"F"
"267507",6079347,30,"F"
"268023",6480632,30,"F"
"268086",6502607,30,"F"
"268292",6591714,30,"F"
"268389",6508795,30,"F"
"269298",3301006,30,"F"
"269544",4290174,30,"F"
"269607",4343680,30,"F"
"269897",4059136,30,"F"
"270596",802665,30,"F"
