"","CLNT_ID","SESS_ID","KWD_NM","SEARCH_CNT"
"14956",5897141,6747891,"보브원피스",4
"14957",5897141,6747891,"바비브라운",4
"14958",5897141,2570297,"클렌징티슈",5
"14959",5897141,6747891,"씨씨콜렉트",3
"14960",5897141,6747891,"ZOOC",1
"14961",5897141,6747891,"ZOOC원피스",1
"14962",5897141,6747891,"바비브라운 립스틱",2
"14963",5897141,6747891,"톰보이",4
"16023",6079347,9719900,"뉴발란스키즈",2
"16201",6084247,1801293,"뉴발란스 롱패딩",2
"16283",5861261,2223900,"맥 버시컬러",1
"16300",5862646,1134675,"토마스사보 비즈",3
"16301",5862646,1134675,"토마스사보",1
"16489",6459979,6744101,"루이까또즈 셔츠",7
"18002",4077701,6357339,"모달이불",3
"18003",4077701,6357339,"모달 차렵이불",4
"18004",4077701,6357339,"여름이불",1
"18088",6005276,863663,"남성 등산 바지",1
"18089",6005276,863663,"아이더 남성 팬츠",1
"18090",6005276,797068,"등산화",1
"18898",3461396,7536961,"버켄스탁 슬리퍼",1
"18899",3461396,7536961,"슬리퍼",1
"18900",3461396,7536961,"반팔티",1
"19376",6280151,4003330,"핏플랍",1
"19893",6496620,4554774,"라코스테 남성 티셔츠",1
"20475",5879003,129263,"빈폴아웃도어여성",1
"20476",5879003,129263,"캘빈클라인진 여성",1
"20840",6092544,5636113,"티비제이 반바지",1
"20841",6092544,5822796,"티비제이 티셔츠",1
"20842",6092544,5822796,"티비제이 반바지",1
"20843",6092544,5636113,"티비제이 티셔츠",1
"21102",3083457,7963764,"블랙야크 여성바지",24
"21103",3083457,7963764,"여자 등산바지",3
"21424",1366368,8117537,"제습기",1
"21425",1366368,8117537,"엘지제습기",1
"22001",6204667,805586,"레인코트",1
"22002",6204667,1040004,"레인코트",1
"22401",5643951,7023989,"피에르가르뎅",2
"22653",6307982,1004642,"라코스테 반팔티",1
"22654",6307982,1004642,"타미힐피거남성 티셔츠",1
"22655",6307982,1004642,"스파이더반팔티",1
"22656",6307982,1004642,"언더아머 반팔티",1
"22657",6307982,1004642,"긴바지",1
"22658",6307982,1004642,"나이키골프바지",1
"22659",6307982,763589,"라네즈 워터뱅크",1
"22660",6307982,1004642,"나이키반팔티",1
"22661",6307982,1004642,"나이키골프남성",1
"22662",6307982,1004642,"나이키바지",1
"22663",6307982,1004642,"타이틀리스트골프웨어",1
"22664",6307982,1004642,"나이키티",1
"22665",6307982,1004642,"휠라 반팔티",1
"22666",6307982,1004642,"남성반바지",1
"22667",6307982,1004642,"남자와이셔츠",2
"22668",6307982,1004642,"반팔티",1
"22669",6307982,1004642,"남성긴바지",1
"22670",6307982,1004642,"핑골프웨어",2
"23264",6576988,10329153,"게스 청바지",2
"23448",6588367,1531130,"미니크로스백",2
"23449",6588367,1474830,"토오픈슈즈",3
"23450",6588367,1474830,"블로퍼",1
"23451",6588367,1531130,"미니백",9
"23452",6588367,1531130,"비비안웨스트우드 클러치",1
"23453",6588367,1531130,"비비안웨스트우드",1
"23454",6588367,800451,"게스슈즈",1
"23455",6588367,1209447,"쇼파베드",4
"23456",6588367,789183,"클러치백",4
"23626",5163446,5735310,"데상트 샌들",1
"23627",5163446,5735310,"나이키 샌들",2
"23628",5163446,5735310,"테바 샌들",2
"23882",6209921,3021343,"입생로랑 립스틱",2
"23883",6209921,10432394,"러쉬 샴푸바",23
"23884",6209921,8389433,"반스 반팔",1
"23885",6209921,10329212,"러쉬 샴푸바",3
"23886",6209921,9897982,"러쉬 컨디셔너",2
"23887",6209921,8389433,"챔피온 반팔티",4
"23888",6209921,3021343,"입생로랑",3
"23889",6209921,10307326,"러쉬 샴푸바",3
"23890",6209921,10432394,"브랜드위크",1
"23891",6209921,5105699,"폼롤러 90",3
"23892",6209921,10432394,"러쉬",6
"23893",6209921,3021343,"입생로랑 틴트",2
"23894",6209921,8389433,"반팔티",2
"24197",6161361,9969830,"버캔스탁",1
"25211",6300131,1396703,"닥터마틴",1
"25212",6300131,125117,"몽베스트",2
"25213",6300131,1396703,"닥터마틴 단테",3
"25262",6302054,6824603,"베이블레이드",4
"25263",6302054,6824603,"아토세이프",1
"25264",6302054,6824603,"음료수",1
"25265",6302054,6824603,"휴지",3
"25266",6302054,6824603,"가면라이더",1
"25590",4300083,10327686,"플라스틱아일랜드",1
"25591",4300083,10327686,"여성 아우터",1
"25592",4300083,10327686,"올리브데올리브",1
"26828",3641061,6695876,"아동샌들",1
"26829",3641061,6695876,"스마트픽 본점",1
"27080",6440028,3624568,"나이키 티셔츠",1
"27081",6440028,3624568,"나이키 티셔츠 남성",2
"27273",6232765,1637081,"지오다노 티",1
"27274",6232765,1637081,"지오다노 셔츠",1
"27319",6244465,3943358,"깔라만시",1
"27320",6244465,4004267,"냉풍기",1
"27321",6244465,4004267,"밴딩슬랙스",1
"27322",6244465,4004267,"키높이로퍼",1
"28141",5557004,9796362,"에어팟",2
"28142",5557004,9834465,"에어팟",1
"28738",6259368,8553462,"크록스 이자벨라",2
"28739",6259368,8553462,"크록스 여성",2
"28740",6259368,8553462,"크록스",2
"30113",3497161,6020980,"메디힐",1
"31041",2726085,898760,"제이케이",1
"31042",2726085,7091243,"헤지스레이디스",1
"31043",2726085,6864775,"여성 팬츠",2
"31044",2726085,1054828,"남성 바지",1
"31045",2726085,1054828,"헤지스남성바지",3
"31046",2726085,4130702,"제이케이",15
"31115",6278547,9180526,"망고 드레스",2
"31116",6278547,9180526,"망고",1
"31164",5605109,6075450,"쿨맥스",1
"31165",5605109,6075450,"여름 청바지",1
"31166",5605109,5121634,"생수 2L",1
"31167",5605109,6075450,"버커루 청바지",1
"31168",5605109,5121634,"생수",1
"31169",5605109,6075450,"쿨맥스청바지",1
"31419",3809985,2359102,"맘스보드",1
"31420",3809985,5557045,"세사리빙",3
"31424",3805115,7362505,"지프 반팔티",1
"31425",3805115,7362505,"아디다스반팔티",1
"31426",3805115,8215878,"코테즈컴바인",2
"31482",3816218,2020534,"향수",1
"32576",3844762,2071836,"쿠폰",1
"34109",6551097,1905195,"르쿠르제",2
"34177",6558638,8046355,"유아 밀짚모자",2
"34428",2726085,6698079,"시에로여성",1
"34429",2726085,6864775,"보브 팬츠",1
"34999",2726085,6864775,"써스데이아일랜드",1
"35000",2726085,8644062,"쉬즈미즈",1
"35001",2726085,4130702,"양산",3
"35002",2726085,4130702,"라코스테 남성 슬립온",4
"35003",2726085,4130702,"라코스테신발",2
"35004",2726085,6864775,"써스데이아일랜드 팬츠",3
"35005",2726085,10378002,"뉴발란스 크로스백",2
"35006",2726085,10378002,"소풍가방",2
"35007",2726085,2868146,"애티튜드",3
"35008",2726085,898760,"롱스커트",3
"35009",2726085,4130702,"여아 수영복",1
"35010",2726085,2868146,"피지오겔크림",1
"35011",2726085,6698079,"크록스 키즈",2
"35012",2726085,6510823,"여성 바지",1
"35013",2726085,2680184,"여아 반바지",2
"35014",2726085,7091243,"헤지스남성",9
"35015",2726085,2680184,"페리미츠",12
"35016",2726085,6510823,"여아 샌들",2
"35017",2726085,4130702,"라코스테 남성 신발",3
"35018",2726085,2680184,"블루독",3
"35019",2726085,10378002,"퓨토",1
"35020",2726085,4130702,"남성 운동화",1
"35186",3025908,7549309,"엘바셀카봉",1
"35187",3025908,3314397,"비오템옴므",1
"35188",3025908,7549309,"에끌라두선크림",1
"35189",3025908,3314397,"미장센",2
"35685",5543651,7208805,"라네즈",1
"35686",5543651,7208805,"라네즈 쿠션",1
"35687",5543651,7208805,"에어쿠션",2
"35688",5543651,7208805,"게이밍모니터",1
"36358",3025908,5431477,"리스킨",4
"36875",607140,3556451,"라코스테 골프",3
"36959",959867,2546173,"제이린드버그골프웨어",1
"37158",1204697,363440,"뉴트리원구미",1
"37436",2785074,3501757,"알마니시계",2
"37938",6081571,1312024,"나이스크랍",1
"37939",6081571,1886422,"써모스",1
"38140",4154830,7467517,"아디다스 세트",1
"38141",4154830,6798849,"린넨 반바지",1
"38142",4154830,7467517,"디스커버리 팔토시",2
"38143",4154830,7467517,"디스커버리 반팔티",2
"38144",4154830,6798849,"취리히 타우페",1
"38145",4154830,7467517,"나이키 쿨토시",1
"38146",4154830,6798849,"야마모토",1
"38147",4154830,6798849,"나이키 모자 스우시",2
"38148",4154830,6798849,"버켄스탁 지제",1
"38149",4154830,6798849,"버켄스탁 취리히",1
"38150",4154830,7467517,"나이키 팔토시",1
"38151",4154830,6798849,"나이키 모자",1
"38152",4154830,6798849,"버켄스탁 취리히 타우페",1
"38153",4154830,6798849,"린넨 반바지 여성",1
"38154",4154830,6798849,"버뮤다",1
"38431",6295139,6860120,"입생로랑 틴트",2
"38432",6295139,8742988,"타미힐피거여성",3
"38433",6295139,8742988,"내셔널지오그래픽반팔",1
"38434",6295139,5947029,"라코스테 셔츠 여성",3
"38435",6295139,5947029,"굿베이스",1
"38436",6295139,5947029,"이솝",2
"38437",6295139,8742988,"정관장",10
"38438",6295139,5947029,"라코스테 셔츠",1
"38439",6295139,8742988,"파타고니아",2
"38440",6295139,8742988,"나이키 여성 운동화",1
"38441",6295139,8742988,"나이키운동화",1
"38442",6295139,5947029,"굿베이스 석류",1
"38443",6295139,5947029,"라코스테 라이브",2
"38444",6295139,6860120,"반스",1
"38445",6295139,6613217,"입생로랑 틴트",2
"38446",6295139,5947029,"라코스테",5
"38447",6295139,8742988,"랜드로바",1
"38538",6371680,7155908,"디올999",1
"38539",6371680,7385856,"키엘",1
"38540",6371680,7385856,"키엘 마스크",2
"38541",6371680,7155908,"ysl",1
"38542",6371680,7385856,"anessa",1
"39382",6534331,2807784,"의류",1
"39383",6534331,2807784,"무료배송",1
"39384",6534331,6818135,"무료배송",1
"39641",5653227,5841343,"테크플리스",1
"39642",5653227,5841343,"나이키",2
"39643",5653227,5841343,"드라이핏",1
"39644",5653227,939299,"테크플리스",1
"39645",5653227,5841343,"나이키 퓨추라",2
"40579",5699059,5081702,"3ce 파우치",1
"40580",5699059,5081702,"파우치",1
"40581",5699059,5081702,"화장품파우치",1
"40582",5699059,5081702,"3ce",1
"41854",2915626,1176492,"뉴에라",3
"41991",2864282,10184606,"테니스용품",1
"41992",2864282,10184606,"테니스가방",2
"43127",2649269,3072554,"팔찌",1
"43128",2649269,3186987,"데상트",1
"43129",2649269,3072554,"패션팔찌",1
"43130",2649269,3072554,"에어펌프",2
"43131",2649269,3186987,"노스페이스바지",1
"43132",2649269,3072554,"노스페이스아쿠아슈즈",1
"43725",5584694,8868111,"스트라이프 티셔츠",1
"43726",5584694,8868111,"팬콧 티셔츠",1
"43727",5584694,8868111,"스트라이프 셔츠",1
"43728",5584694,8868111,"스트라이프 반팔",1
"43729",5584694,8868111,"팬콧 반팔",1
"43730",5584694,8868111,"스트라이프 반팔티",1
"44216",5804944,456634,"탐스",3
"44217",5804944,456634,"남성슬립온",1
"44218",5804944,456634,"슬립온",1
"44219",5804944,456634,"기어엑스",1
"44220",5804944,456634,"블랙자켓",1
"44221",5804944,456634,"핏플랍 남성",1
"44222",5804944,456634,"탐스 남성",1
"44495",2936073,24863,"홍삼톤골드",2
"44496",2936073,4514673,"홍이장군1단계",2
"44497",2936073,4514673,"정관장 에브리타임",3
"44498",2936073,10476182,"메리즈기저귀",2
"44499",2936073,4514673,"홍삼톤골드",2
"44669",5709855,10095082,"치발기",2
"44670",5709855,10095082,"윈켈",3
"44671",5709855,10095082,"오볼",4
"44672",5709855,10095082,"에듀테이블",1
"44673",5709855,10095082,"아기장난감",1
"44674",5709855,10095082,"아기체육관",3
"44675",5709855,10095082,"유모차 장난감",1
"44829",5781421,331537,"유심",1
"44830",5781421,273635,"디베아무선청소기",2
"44831",5781421,273635,"차이슨 무선청소기",4
"45040",519136,9734998,"빅토리아키즈",2
"45041",519136,9461775,"벤시몽",1
"45042",519136,9461775,"빅토리아키즈",4
"45043",519136,9461775,"벤시몽키즈",1
"45262",2906111,4304541,"나이키아동운동화",1
"45263",2907842,3180802,"베이비반즈 플랩캡",1
"45668",3135631,8827213,"남성운동화",1
"45669",3135631,8827213,"운동화",1
"46131",1983780,4606760,"남성 반팔 티셔츠",2
"46132",1983780,4606760,"남성 모자",4
"46133",1983780,4606760,"남성 반바지",3
"46134",1983780,4606760,"남성지갑",2
"46313",2940717,580187,"미샤 브러쉬",1
"46348",3025908,3314397,"비오템 아쿠아수르스",2
"46349",3025908,9523863,"비오템 아쿠아수르스",5
"46859",5913647,6966406,"핸디청소기",1
"46860",5913647,6966406,"입생로랑 틴트",1
"46861",5913647,6966406,"청소기",1
"46948",3944609,8183770,"아임웰",1
"47261",3998217,9540278,"알엠케이",2
"47262",3998217,9540278,"크리니크",1
"47263",3998217,9540278,"크리니크 세트",1
"48681",3046994,1574965,"운동장갑",1
"48682",3046994,1271988,"첨이첨이 파자마",1
"48683",3046994,1216662,"리뉴",2
"48684",3046994,1300425,"오끼오",1
"48685",3046994,1144865,"해피콜",1
"48686",3046994,1144865,"테팔 믹서기",1
"48687",3046994,650776,"컬리수",1
"48807",3062527,5346340,"아레나아동수경",1
"48808",3062527,5364315,"아레나아동수경",2
"48809",3062527,5364315,"아레나수영모자",2
"48810",3062527,6043062,"빅토리아슈즈 키즈",3
"48811",3062527,5364315,"아동수경",1
"48812",3062527,9250488,"빅토리아키즈",1
"48813",3062527,6043062,"남아운동화",1
"48814",3062527,5364315,"수영가방",2
"48815",3062527,6043062,"빅토리아슈즈",1
"48816",3062527,5364315,"아레나아동수영복",2
"48817",3062527,8075005,"반팔티",1
"48818",3062527,6043062,"벤시몽엘리",1
"48819",3062527,6043062,"벤시몽",1
"48820",3062527,5364315,"남아수영모자",1
"48821",3062527,6043062,"아쿠아슈즈",1
"48822",3062527,5364315,"아레나수영모",1
"48823",3062527,6043062,"아쿠아슈즈 아동",1
"48824",3062527,8075005,"빅토리아키즈",2
"48825",3062527,3186442,"수영모자",1
"48826",3062527,5364315,"아동수영가방",1
"48827",3062527,6043062,"퓨마 슬리퍼",1
"48828",3062527,5346340,"아레나수영가방",1
"48829",3062527,5346340,"아레나수영모자",1
"48830",3062527,8436571,"피에르가르뎅",1
"48831",3062527,5346340,"수영수건",1
"48832",3062527,8436571,"빅토리아슈즈",1
"48893",3152616,9817301,"슬리브리스",1
"49553",2322527,2445686,"풋조이장갑",2
"49724",5733901,3539498,"케어놀로지",3
"49725",5733901,3539498,"크리니크",1
"50813",3058208,10673380,"3단 빨래바구니",3
"50814",3058208,10751521,"블랑101",1
"50815",3058208,10673380,"베베드피노원피스",1
"50816",3058208,10673380,"실크테라피",3
"50817",3058208,10673380,"유아원피스",4
"50818",3058208,10673380,"빨래바구니",4
"50819",3058208,10673380,"요요휴대용유모차",2
"51814",4482718,5481569,"빈폴 슬리퍼",1
"51815",4482718,5481569,"라코스테 슬리퍼",1
"51894",4510040,7120321,"탑이슈 블라우스",1
"54693",2758238,5417971,"아디다스 운동화",1
"54920",6006965,7486156,"블루독키즈",1
"54921",6006965,7486156,"여름내복",1
"54922",6006965,7486156,"남아 티셔츠 반팔",1
"54923",6006965,7486156,"타미힐피거칠드런",1
"54924",6006965,7486156,"팝콘치킨",1
"54956",6178900,431680,"C77124",14
"55244",5954047,227256,"빈폴남성",2
"55245",5954047,227256,"헤지스",4
"55246",5954047,227256,"빈폴",6
"55894",2233350,2216172,"핏플랍 여성",1
"56552",2710569,6683741,"스킨푸드 알로에",1
"56553",2710569,6683741,"스킨푸드",2
"56554",2710569,6683741,"마데카크림",1
"56555",2710569,6683741,"에이지투웨니스팩트",1
"56556",2710569,9938884,"바이올린",1
"56557",2710569,9938884,"보면대",2
"56558",2710569,9938884,"이젤",1
"56575",2713223,1957028,"오드리선",1
"57081",4542083,5863125,"크록스 여성 샌들",1
"57451",4605475,6713164,"파운데이션",2
"57452",4605475,6713164,"클렌징워터",1
"57453",4605475,6713164,"비비크림",1
"57457",4563195,5722714,"오한진 프로바이오틱스",1
"57458",4563195,7115671,"양배추환",1
"57459",4563195,7115671,"발마사지기",1
"57460",4563195,7115671,"남자밴딩바지",1
"57461",4563195,9894109,"ml32bw",2
"57778",5931840,5786917,"지오다노 슬랙스",1
"57779",5931840,5793287,"에잇세컨즈",1
"57780",5931840,5793287,"지오다노 슬랙스",1
"57781",5931840,5793287,"에잇세컨즈 슬랙스",1
"57782",5939444,7195157,"샘소나이트 브리프케이스",1
"57783",5939444,6964990,"폴로 랄프로렌 남성",1
"57784",5939444,6964990,"폴로 랄프로렌 티셔츠",1
"59166",5580497,9323327,"에르고 360 쿨에어",1
"59421",4573348,6730600,"아동슬리퍼",1
"59422",4573348,6727965,"남성 티셔츠",1
"59423",4573348,6727965,"ti포맨",1
"59424",4573348,6282013,"리바이스",1
"59425",4573348,6727965,"남성남방",1
"59426",4573348,6282013,"셔츠",1
"59427",4573348,6727965,"남성린넨셔츠",1
"59428",4573348,6727965,"뉴발란스 래쉬가드 여성",1
"59429",4573348,6282013,"여름남성바지",1
"59430",4573348,6727965,"뉴발란스 여성",1
"59431",4573348,6282013,"티",1
"59432",4573348,6727965,"식탁",1
"59433",4573348,6282013,"남성바지",2
"59434",4573348,6727965,"디스커버리래쉬가드",1
"60445",5887093,6500092,"컨버스 척테일러",1
"60446",5887093,6500092,"쿠론",1
"60447",5887093,6500092,"칼린",1
"60448",5887093,6500092,"질스튜어트",1
"60449",5887093,6500092,"롱샴 르플리아쥬",1
"60450",5887093,6500092,"조이그라이슨",1
"61122",5774999,8289996,"마이비",1
"61123",5774999,8289996,"에코버",1
"61124",5774999,8289996,"암막커튼",1
"61125",5774999,6815436,"레인보우샵",1
"61126",5774999,8289996,"야미얼스",1
"62799",4644143,9042281,"고양이 간식",1
"62800",4644143,9042281,"고양이",2
"62801",4644143,9042281,"츄르",1
"63083",4339928,4018271,"슈에무라",1
"63084",4339928,7693605,"SK-II",1
"63134",4415401,3887751,"반스 올드스쿨",6
"63135",4415401,10934880,"아디다스 레깅스",3
"63136",4415401,8760197,"토리버치",2
"63137",4415401,4149626,"cw1202",12
"63138",4415401,4149626,"아디다스 반팔",3
"63251",5590501,7529154,"디스커버리 래쉬가드",2
"63252",5590501,7529154,"예작와이셔츠",1
"63253",5590501,7529154,"레시가드 남성",1
"64427",5852997,1885610,"항공점퍼",6
"64428",5852997,2379477,"여성단화",2
"64429",5852997,989777,"여성패딩",5
"64430",5852997,1885610,"가죽자켓",2
"64431",5852997,8407961,"콜한 여성",3
"64432",5852997,2379477,"여성샌들",2
"64433",5852997,2379477,"여성단화 플랫",4
"64434",5852997,989777,"테이트패딩",2
"64435",5852997,2299702,"윈원피스",9
"64436",5852997,1885610,"블루종",1
"64437",5852997,8933991,"빈폴키즈원피스",1
"64438",5852997,5438099,"크록스라이트라이드",3
"64439",5852997,989777,"헤지스롱패딩",1
"64440",5852997,1885610,"맨투맨",2
"64441",5852997,5438099,"크록스여성샌들",2
"64442",5852997,8990719,"땀복",2
"64443",5852997,8931881,"복부보정",1
"64444",5852997,2316143,"사만사타바사",1
"64445",5852997,8407961,"레노마스니커즈",1
"64446",5852997,8407961,"레노마 여성 슬립온",1
"64447",5852997,2379477,"여성플랫슈즈",3
"64448",5852997,8407961,"탠디스니커즈",1
"64449",5852997,8171858,"랩티셔츠",4
"64450",5852997,5637821,"수페르가",2
"64451",5852997,3952226,"액츠",2
"64452",5852997,1885610,"여성후드티",4
"64453",5852997,8407961,"탠디여성스니커즈",1
"64454",5852997,917929,"크리니크 토너",1
"64455",5852997,1885610,"가죽자켓 여성",3
"64493",5857709,8232932,"제옥스",4
"64494",5857709,8232932,"유아 수영복",1
"64495",5857709,4208519,"존바바토스 아티산",1
"64496",5857709,8232932,"제옥스여성화",1
"64497",5857709,4208519,"캠핑 테이블",1
"64630",5863791,1350166,"아이더키즈 다운",1
"64631",5863791,799056,"퍼실",1
"64632",5863791,1228379,"썬크림",1
"64633",5863791,190011,"남성스킨로션세트",1
"64634",5863791,799056,"클러치",1
"64635",5863791,1228379,"마몽드",1
"64636",5863791,799056,"버넬",1
"64637",5863791,799056,"델라스텔라",1
"64638",5863791,1228379,"이자녹스",1
"64639",5863791,1350166,"네파키즈 다운",1
