"","CLNT_ID","SESS_ID","HITS_SEQ","PD_C","PD_ADD_NM","PD_BRA_NM","PD_BUY_AM","PD_BUY_CT"
"6490",995329,3014033,24,121254,"선택:[1014201]분홍 / 1개","모나미(문구)","210","1"
"6503",2583781,668563,303,733114,"1개","솔로몬샵","240","1"
"6504",2583781,668563,66,733114,"1개","솔로몬샵","240","1"
"6714",5773410,8758048,58,642112,"색상:카바나 / 1개","바비브라운","39,000","1"
"6790",5897141,6747891,63,742707,"색상:스윗 애프리콧 / 1개","바비브라운","39,000","1"
"6872",4598332,3421043,152,673472,"1개","라보라토리오 올파티보","39,000","1"
"6938",1038080,1938540,95,54319,"컬러:진저 / 1개","로라 메르시에","40,000","1"
"6941",1043094,3830359,39,814540,"색상:커스터드 / 2개","나스","40,000","2"
"7437",3476989,6442565,26,788073,"선택:폴라 [그레이] / 1개","쁘리엘르","1,000","1"
"7449",2959858,8150606,6,637249,"상품명:11.섬머단가라|색상:블루 / 5개","제이핑크","470","5"
"7545",2959858,9647111,64,667808,"후크스타일:2후크6아이|색상:스킨 / 2개","핑크룩","500","2"
"7571",5000422,1056281,17,146943,"10개","자연의품격","500","10"
"7666",3257007,7251317,108,798467,"90개","썬넛트","590","90"
"7669",3861966,3568109,38,9696,"1개","더독","590","1"
"7728",4668813,10835773,30,606505,"색상:블랙|사이즈:90(S) / 1개","리바이스","39,000","1"
"7778",4750371,8215160,18,464972,"SIZE:220 / 1개","나이키(슈즈)","39,000","1"
"8169",4494859,8607119,76,409941,"색상:92 그레이시블루|사이즈:29 / 1개","지오다노","39,800","1"
"8174",4573348,6282013,253,259487,"색상:01 네이비/화이트ST|사이즈:L / 1개","지오다노","39,800","1"
"8188",4763551,9791139,27,423262,"색상:라이트그레이_205008-007|사이즈:185 / 1개","크록스키즈","39,800","1"
"8275",513498,8553069,25,838663,"타입:꼭꼬핀 U자형 1개입 / 1개","하이아트","850","1"
"8612",59693,5026194,32,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"8613",59693,5049857,26,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"8614",59693,6245478,16,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"8615",59693,6479714,28,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"8775",2583781,675066,265,733114,"1개","솔로몬샵","240","1"
"8776",2583781,675066,500,733114,"1개","솔로몬샵","240","1"
"8777",2583781,696956,129,733114,"1개","솔로몬샵","240","1"
"8778",2583781,696956,340,733114,"2개","솔로몬샵","240","2"
"8779",2583781,696956,71,733114,"1개","솔로몬샵","240","1"
"8976",4415401,4149626,209,136857,"사이즈:S / 1개","아디다스","39,000","1"
"9006",4455676,222742,17,56884,"색상:와인(WI)|사이즈:FREE / 1개","랩","39,000","1"
"9175",4237281,2489879,59,96004,"색상:블루|사이즈:FREE / 1개","르피타","39,800","1"
"9237",5055377,8754769,14,361737,"색상:11|사이즈:XL / 1개","지오다노","39,800","1"
"9240",5064209,10397474,12,459875,"색상:카네이션|사이즈:195 / 1개","크록스키즈","39,800","1"
"9379",4583976,1083969,30,742372,"1개","아베다","1,000","1"
"9471",513498,8553069,25,838663,"타입:꼭꼬핀 일자형 1개입 / 4개","하이아트","850","4"
"9521",2747606,10928215,20,746165,"색상:남성옆토미그레이 / 8개","부자양말","890","8"
"9884",59693,5702190,10,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"9885",59693,6608671,15,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"9886",59693,6732606,10,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"10066",5341325,3092688,90,305949,"색상:BE|브라사이즈:85C|팬티사이즈:100 / 1개","원더브라(언더웨어)","39,000","1"
"10247",2414290,5962961,75,161562,"새상:NV|사이즈:74(29) / 1개","탑텐","39,900","1"
"10396",3338258,7660228,112,304065,"색상:MGR(멜란지그레이)|사이즈:82 (32) / 1개","탑텐","39,900","1"
"10416",3465075,1163721,23,758543,"색상:아이보리|사이즈:77 / 1개","클라비스","39,900","1"
"10615",487298,9808434,17,5441,"구분1:분홍 / 1개","솔로몬샵","840","1"
"10880",2061275,5969795,46,282302,"모델:D1 실꼬리돔&명태 / 1개","네추럴코어","500","1"
"11224",5376439,4993489,30,391581,"색상:BK|사이즈:90 / 1개","레노마수영복","39,000","1"
"11352",3751683,6887655,39,736142,"커버:딜런의 로켓|솜:매쉬 베개솜 / 1개","밀로앤개비","39,900","1"
"11480",4657163,8330672,55,816627,"1개","고려은단","39,900","1"
"11822",2583781,668563,372,733114,"1개","솔로몬샵","240","1"
"11823",2583781,668563,408,733114,"1개","솔로몬샵","240","1"
"11824",2583781,677516,24,733114,"1개","솔로몬샵","240","1"
"11825",2583781,696956,490,733114,"1개","솔로몬샵","240","1"
"11921",59693,2649159,152,628313,"1개","예지미인","450","1"
"11944",59693,6025904,12,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"12168",3750646,6530197,296,704970,"색상:BK|사이즈:95 / 1개","레노마수영복","39,000","1"
"12243",3867649,8227003,19,380391,"색상:카키(KH)|사이즈:55 / 1개","리스트","39,000","1"
"12319",4003408,9059245,96,347029,"색상:네이비|사이즈:110 / 1개","예작(셔츠)","39,000","1"
"12395",5919572,2260690,85,112761,"색상:19버건디화이트ST|사이즈:L / 1개","지오다노","39,800","1"
"12416",6060430,9498490,79,469549,"색상:93블랙글랜체크|사이즈:25 / 1개","지오다노","39,800","1"
"12561",2550520,6717838,16,390689,"색상:베이지(BE)|사이즈:F / 1개","매긴","39,900","1"
"12794",555022,3197470,18,554713,"선택:07.인어공주-꼬리 / 1개","플레이비츠","990","1"
"12980",59693,4369810,107,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"12981",59693,6126279,12,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"12982",59693,6245478,16,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"12983",59693,6836983,25,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"12984",59693,6869954,11,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"12989",220090,4916042,412,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"13068",4416274,3501703,21,179341,"맛(기능)선택:눈건강 오리 / 1개","더독","100","1"
"13156",2583781,675066,294,733114,"1개","솔로몬샵","240","1"
"13157",2583781,696956,312,733114,"2개","솔로몬샵","240","2"
"13301",5559193,2328001,52,837507,"2개","르네휘테르","39,000","2"
"13339",5622144,1912874,60,80160,"사이즈:단품 / 1개","라인프렌즈","39,000","1"
"13405",2045362,3080844,29,774119,"1개","해피콜","39,400","1"
"13527",1971857,7050059,176,469549,"색상:선택02) 418505-92|사이즈:28 / 1개","지오다노","39,800","1"
"13548",2273399,9121789,18,498762,"디자인:PP1320 브라운|사이즈:M(240~245) / 1개","페이퍼플레인","39,800","1"
"13572",2590735,770591,81,29159,"색상:에나멜_블랙|사이즈:230 / 1개","아미마켓","39,800","1"
"13818",555022,3197470,18,554713,"선택:23.자동차 / 1개","플레이비츠","990","1"
"13992",59693,5528749,23,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"13993",59693,6535668,10,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"14016",1182727,5863046,122,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"14079",4744492,2756955,64,71306,"default:default / 5개","더리얼","100","5"
"14197",59693,5761403,16,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"14198",59693,6732606,10,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"14199",59693,6869954,11,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"14385",2477771,5581912,55,237196,"사이즈:210 / 1개","나이키 키즈","39,200","1"
"14393",2673391,4128498,172,184118,"사이즈:100 / 1개","나이키","39,200","1"
"14519",6135235,7018493,209,469274,"색상:화이트|사이즈:54 (M) / 1개","뉴발란스(키즈)","39,000","1"
"14724",2880430,7502768,16,700746,"2개","한경희생활과학","39,900","2"
"14936",4718973,6539590,133,554713,"선택:13.노랑오리 / 1개","플레이비츠","990","1"
"14937",4764140,8323313,11,554713,"선택:26.리본 / 1개","플레이비츠","990","1"
"15001",5827411,7772381,54,554713,"선택:30.무지개 / 1개","플레이비츠","990","1"
"15066",2747606,2102741,54,546881,"상품명:D(남)밀착더블밴드 웨일즈 덧신|색상:(남)링글네이비 / 10개","올삭스","990","10"
"15181",59693,4249368,126,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"15182",59693,5646064,41,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"15183",59693,5939404,14,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"15352",2583781,668563,322,733114,"1개","솔로몬샵","240","1"
"15500",5684899,6677171,108,742503,"1개","아베다","39,000","1"
"15932",3673931,8664918,28,824253,"2개","이니스프리","900","2"
"16188",487298,9808434,17,5441,"구분1:노랑 / 1개","솔로몬샵","840","1"
"16214",570562,3481070,81,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"16339",3306149,5978633,39,821194,"색상:핑크 / 50개","가쯔","180","50"
"16384",2583781,675066,446,733114,"1개","솔로몬샵","240","1"
"16441",4245236,875764,258,324864,"5개","에뛰드하우스","500","5"
"16676",5504795,1658157,109,801670,"색상:블랙|사이즈:105 / 1개","에어워크","39,000","1"
"16680",5515562,4329002,42,619825,"색상:핑크|사이즈:F / 1개","지지피엑스","39,000","1"
"16773",4845286,10307342,132,713190,"상품명:비올렛목재팔걸이체어-카키 / 1개","가구느낌","39,900","1"
"16910",1585658,2405157,103,63027,"색상:블랙|사이즈:130 / 1개","헌트키즈(아동)","39,900","1"
"16993",2062258,10140879,23,620305,"색상:MED WASH|사이즈:XS / 1개","아메리칸이글(진)","39,900","1"
"17416",59693,5831392,30,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"17500",5952190,10814208,66,738268,"상품명:02.도트머스태시|색상:블랙 / 5개","제이핑크","790","5"
"17577",59693,4710756,172,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"17696",1347334,1229561,21,31851,"색상:핑크(P)|사이즈:180 / 1개","엠엘비키즈","39,500","1"
"17697",1351513,4428952,117,343494,"사이즈:095 / 1개","헤지스남성","39,500","1"
"17813",3377621,9083103,106,423262,"색상:네이비_204994-410|사이즈:190 / 1개","크록스키즈","39,500","1"
"17869",4366124,979181,281,27335,"색상:네이비(N)|사이즈:145 / 1개","엠엘비키즈","39,500","1"
"17960",460711,10924711,1,567440,"색상:BK|사이즈:100/BK/BK/ / 1개","레노마수영복","40,000","1"
"18085",2726085,6698079,34,200149,"모델명:202602-040|사이즈:185mm(C11) / 1개","크록스키즈","40,000","1"
"18214",4324295,4825292,29,5107,"구분1:A1(S101)용 카터칼 - 색상임의발송 / 2개","솔로몬샵","710","2"
"18227",3861966,3568109,23,4688,"1개","더독","730","1"
"18234",570562,9936580,74,792185,"색상:여성용-흰색 / 2개","제이핑크","750","2"
"18379",5927343,185725,34,211655,"색상:(여)그레이 / 3개","올삭스","990","3"
"18514",2583781,668563,200,733114,"1개","솔로몬샵","240","1"
"18515",2583781,696956,463,733114,"1개","솔로몬샵","240","1"
"18543",1301554,7579144,376,825092,"색상:그린 / 1개","비스켓","300","1"
"18644",59693,4556974,69,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18645",59693,5049857,57,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18646",59693,5761403,16,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18647",59693,6126279,12,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"18648",59693,6340413,13,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18649",59693,6427784,370,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18651",220090,4728761,45,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18652",220090,4854903,17,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"18851",6358247,1608867,131,411079,"색상:09|사이즈:M / 1개","지오다노","39,000","1"
"18865",6368346,6514687,69,671321,"컬러:화이트 0361mpbfW / 1개","메트로시티(주얼리)","39,000","1"
"18997",2159354,3722939,13,108419,"색상:NAVY(Z410)|사이즈:J3(220) / 1개","크록스","39,900","1"
"19042",2391435,9401961,278,467252,"색상:ICE BLUE(Z4O9)|사이즈:J1(200) / 1개","크록스","39,900","1"
"19119",2890644,3233181,53,9679,"2개","페넬로페","39,900","2"
"19337",4785585,1578389,92,83013,"제품선택:FAKE 별사탕 여성덧신|색상:아이보리 / 1개","씨엘스토리","990","1"
"19358",5249276,8161637,38,554713,"선택:21.꽃 / 1개","플레이비츠","990","1"
"19439",116465,312516,63,730488,"1개","닥터지","1,000","1"
"19562",2583781,677516,80,787897,"1개","모닝글로리","390","1"
"19623",59693,5353065,45,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"19624",59693,6608671,15,208785,"색상:(남)그레이 / 1개","올삭스","100","1"
"19794",995329,3014033,24,121254,"선택:[1014199]보라 / 1개","모나미(문구)","210","1"
"19811",112275,5369612,32,390491,"1개","지에스25","250","1"
"19942",3347397,8757217,20,605088,"1개","고려은단","39,400","1"
"20033",5599643,3213279,163,93132,"색상:블랙|사이즈:27 / 1개","게스(진)","39,000","1"
"20046",5617428,3130182,66,642112,"색상:워터멜론 / 1개","바비브라운","39,000","1"
"20327",73863,1740623,2,672266,"컬러:남산 / 1개","나스","40,000","1"
"20340",129625,8131426,94,813954,"색상:섹스 어필 / 1개","나스","40,000","1"
"20380",5275134,6852145,60,257409,"색상:듀크솔리드네이비|사이즈:140 / 1개","크록스(키즈)","39,900","1"
"20508",5559407,8954579,45,731956,"1개","세븐일레븐","900","1"
"20939",5684899,5362444,156,554700,"색상:BLK0_(BLK0)BLACK|사이즈:090 / 1개","르꼬끄","39,000","1"
"21072",5933102,87781,22,51000,"사이즈:260 / 1개","아식스","39,000","1"
"21146",6070465,1548130,51,766148,"색상:그레이|사이즈:55 / 1개","비키","39,000","1"
"21293",3852778,5708477,33,742385,"1개","아베다","40,000","1"
"21342",2305942,10239610,140,580029,"컬러:파이널 컷 / 1개","나스","40,000","1"
"21353",2369442,3414564,21,813954,"색상:오르가즘 / 1개","나스","40,000","1"
"21464",3011406,6742868,21,434029,"사이즈:46(46cm) / 1개","밍크뮤","40,000","1"
"21554",4229337,3683639,96,554713,"선택:02.파랑고래-머리 / 1개","플레이비츠","990","1"
"21588",4718973,6539590,133,554713,"선택:21.꽃 / 1개","플레이비츠","990","1"
"21614",5249276,8161637,38,554713,"선택:19.꿀벌 / 1개","플레이비츠","990","1"
"21615",5249276,8161637,38,554713,"선택:29.애벌래 / 1개","플레이비츠","990","1"
"21616",5249276,8162190,24,554713,"선택:13.노랑오리 / 1개","플레이비츠","990","1"
"21763",4069532,759691,39,734963,"1개","지에스25","1,000","1"
"21799",3861966,3568109,23,179341,"맛(기능)선택:눈건강 오리 / 1개","더독","100","1"
"21888",5888557,207736,181,817486,"색상:오렌지 / 60개","가쯔","180","60"
"21901",995329,3014033,24,121254,"선택:[1014203]연두 / 1개","모나미(문구)","210","1"
"22064",4670887,10775881,6,741295,"사이즈:245 / 1개","케즈","39,500","1"
"22271",3720041,6691608,100,403826,"품번:BI4517_블랙|사이즈:90 / 1개","아디다스(의류)","39,200","1"
"22453",1864132,1268146,103,50870,"색상:01호 골든 글로우 / 1개","아모레퍼시픽","40,000","1"
"22509",2143137,5646087,32,843720,"색상:딥쓰로트 / 1개","나스","40,000","1"
"22658",555022,3197470,18,554713,"선택:06.상어핑크-머리 / 1개","플레이비츠","990","1"
"22840",4347511,6504341,50,212049,"색상:(여)화이트 / 3개","올삭스","990","3"
"22857",4718973,6539590,133,554713,"선택:25.사탕 / 1개","플레이비츠","990","1"
"22972",2583781,696956,439,733114,"1개","솔로몬샵","240","1"
"23012",1301554,7579144,376,825092,"색상:블루 / 1개","비스켓","300","1"
"23088",59693,6777010,25,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"23198",2007915,9246960,12,409767,"색상:BF_LOAFERLE_BR|사이즈:140 / 1개","왓코(스포츠)","39,500","1"
"23458",4023625,5347543,274,260959,"호수:21호 / 1개","AGE20's","39,900","1"
"23518",4548144,8751539,108,554257,"사이즈선택:밴드2단계 50매x3팩(3-5kg) / 2개","킨도","39,900","2"
"23634",5254256,2663204,12,61348,"색상:검정색|Size:S / 1개","에잇세컨즈","39,900","1"
"23770",115714,5330229,24,3130,"1개","케이맘","990","1"
"23810",252725,2460502,51,742372,"3개","아베다","1,000","3"
"23943",3164738,3300438,17,643308,"색상:골드 / 1개","더독","1,000","1"
"24080",2867448,674277,22,787459,"1개","108542","640","1"
"24173",1274233,4197883,69,4688,"1개","더독","730","1"
"24554",5423147,7930577,90,755216,"사이즈:10T / 1개","헤즈","39,900","1"
"24646",6056251,6308536,20,716343,"제품번호/색상:17A055_모던화이트|사이즈:250 / 1개","코스(KHOS)","39,900","1"
"24759",17863,8470106,40,505227,"기본:기본 / 1개","오휘","40,000","1"
"25005",555022,3197470,18,554713,"선택:02.파랑고래-꼬리 / 2개","플레이비츠","990","2"
"25006",555022,3197470,18,554713,"선택:06.상어핑크-지느러미 / 1개","플레이비츠","990","1"
"25044",1364320,1004360,14,536257,"색상:베이지|사이즈:M / 1개","해피프린스","990","1"
"25168",59693,4757329,24,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"25169",59693,4889166,29,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"25170",59693,6836983,25,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"25248",4275207,3498946,26,179341,"맛(기능)선택:눈건강 오리 / 1개","더독","100","1"
"25363",1301554,7579144,376,825092,"색상:레드 / 1개","비스켓","300","1"
"25380",6166068,10805610,41,737542,"2개","키엘","39,000","2"
"25525",5757514,2618105,57,179240,"모델명:80008331 / 1개","클라란스","39,000","1"
"25679",3397425,342768,78,221938,"색상:PI|사이즈:220mm / 1개","블랙야크(키즈)","40,000","1"
"25687",3429150,4456008,145,480995,"필수선택:정수키트 욕실팩 / 1개","듀벨","40,000","1"
"25721",3635250,4253107,121,531245,"색상:네이비820|사이즈:82 / 1개","네파(아웃도어)","40,000","1"
"25753",3503912,6625229,50,476277,"호수:화이트 21호 / 1개","AGE20's","39,900","1"
"25817",3991347,24961,177,587813,"색상:아이보리|사이즈:105 / 1개","마인드브릿지","39,900","1"
"25849",4206574,5413835,214,213719,"색상:베이지|사이즈:FF / 1개","매그제이(MAGJAY)","39,900","1"
"25863",4295505,8754155,39,816627,"1개","고려은단","39,900","1"
"26019",6472046,10715447,7,742372,"2개","아베다","1,000","2"
"26280",2061275,5969795,46,282302,"모델:D4 실꼬리돔&참치 / 1개","네추럴코어","500","1"
"26383",220090,4793391,31,588072,"상품명:D(남/여)골지스니커즈|색상:여)화이트 / 1개","올삭스","590","1"
"26769",3018653,702501,263,495790,"옵션:하이드로 / 1개","라네즈","40,000","1"
"27204",5249276,8162190,24,554713,"선택:01.흰고래-머리 / 1개","플레이비츠","990","1"
"27368",2583781,696956,367,733114,"2개","솔로몬샵","240","2"
"27420",2867448,714063,68,787897,"1개","모닝글로리","390","1"
"27630",5793077,8700147,35,605088,"1개","고려은단","39,400","1"
"27686",703854,9130331,256,355090,"색상:화이트|브라사이즈:75C|팬티사이즈:85 / 1개","에블린","39,500","1"
"27779",4017342,4593200,265,339366,"색상:220 BK블랙|사이즈:레귤러 40(255mm~260mm) / 1개","버켄스탁","39,200","1"
"27919",5035699,10708820,28,831618,"1개","올즙","39,900","1"
"28074",580196,10407520,495,500481,"색상:파란색|Size:M / 1개","에잇세컨즈","39,900","1"
"28448",995329,3014033,24,121254,"선택:[1014205]주황 / 1개","모나미(문구)","210","1"
"28459",2583781,663267,94,733114,"1개","솔로몬샵","240","1"
"28460",2583781,675066,223,733114,"1개","솔로몬샵","240","1"
"28514",2583781,675066,416,787897,"1개","모닝글로리","390","1"
"28529",1280173,4668483,35,131438,"선택:[1022004]흑색 / 2개","마그피아","400","2"
"28544",115714,4477023,19,123108,"필수선택:하기스 수영장기저귀 S / 1개","하기스","440","1"
"28645",2867448,671422,86,121284,"선택:[1014287]단일상품 / 1개","문화","700","1"
"28726",1023619,10442233,16,741295,"사이즈:245 / 1개","케즈","39,500","1"
"28922",5288985,7231535,28,423262,"색상:카네이션핑크_204984-6I2|사이즈:180 / 1개","크록스키즈","39,500","1"
"28937",2210930,4929602,380,672266,"컬러:남산 / 1개","나스","40,000","1"
"28970",2405667,7893004,13,685052,"색상:WMM17295W2|사이즈:100 / 1개","와이드앵글","40,000","1"
"29080",3075526,1176560,118,519021,"색상:KH|사이즈:1(FREE) / 1개","엠폴햄","40,000","1"
"29131",2503148,4337997,24,742385,"1개","아베다","40,000","1"
"29257",2922787,2310742,29,746165,"색상:남성옆토미화이트 / 11개","부자양말","990","11"
"29330",4718973,6539590,133,554713,"선택:22.거북이 / 1개","플레이비츠","990","1"
"29578",59693,4351423,34,207981,"색상:(여)스킨 / 1개","올삭스","100","1"
"29667",3861966,3568109,23,179341,"맛(기능)선택:장건강 치킨 / 1개","더독","100","1"
"29668",3861966,3568109,38,179341,"맛(기능)선택:장건강 치킨 / 1개","더독","100","1"
"29756",995329,3014033,24,121254,"선택:[1014196]노랑 / 6개","모나미(문구)","210","6"
"29769",2583781,668563,95,733114,"1개","솔로몬샵","240","1"
"29770",2583781,675066,324,733114,"1개","솔로몬샵","240","1"
"29771",2583781,696956,264,733114,"2개","솔로몬샵","240","2"
"29816",6013805,5984671,70,568751,"신발색상:베이지(BG)|신발사이즈:270 / 1개","디스커버리","39,000","1"
"29971",4514276,3128324,149,200296,"상의:KWT05 졸리크롭탑_블랙/L|하의:DAP30_블랙/M / 1개","애슬리트(스포츠)","39,000","1"
"30041",6013805,5984671,70,568751,"신발색상:네이비(NY)|신발사이즈:270 / 1개","디스커버리","39,000","1"
"30106",5042770,3118728,10,778301,"직접입력1:폴|직접입력2:매쉬베개솜 / 1개","밀로앤개비","39,900","1"
"30110",5070570,6853340,31,587637,"색상:pink gold / 1개","로이드(주얼리)","39,900","1"
"30133",5195124,10561769,17,725081,"타입:일반 / 1개","퍼실","39,900","1"
"30662",2061275,5969795,46,282302,"모델:D2 닭가슴살&참치 / 1개","네추럴코어","500","1"
