"","PD_C","PD_NM","CLAC1_NM","CLAC2_NM","CLAC3_NM"
"3178",510979,"S,M,L,XL/봄신상핏예술5kg날씬밴딩팬츠9종택1/M4151M4150M4149 - 부츠컷밴딩M4142 Black / M","여성의류","여성의류전신","여성원피스"
"3241",346323,"조던 플라이트 탱크 861494-405 - 095","스포츠패션","남성일반스포츠의류","남성스포츠티셔츠"
"3288",219353,"남여공용 20수 스트라이프 반팔 티셔츠(B182Z4090P) - 그린(51) / M","남성의류","남성의류상의","남성티셔츠"
"3292",420785,"헤지스남성 HZTS8A902Y1 [PHIZ] 퍼피패치 면 맨투맨티셔츠 - 옐로우 / 095 ◈82734027◈","남성의류","남성의류상의","남성티셔츠"
"3305",346379,"W SOUP 소매레터링자수자켓 st3jk06 - 아이보리 / 55","여성의류","여성의류아우터","여성재킷"
"3321",328643,"지오지아 순면 모노 그래픽 반팔 티셔츠ABX2TR1117 - WT(화이트) / 105","남성의류","남성의류상의","남성티셔츠"
"3334",828614,"[MD추천]고어텍스트레킹화 핸즈프리 103GTX TS0680 사은품증정 - 오렌지 / 275","아웃도어/레저","등산","등산화"
"3419",508969,"해지고양이블루종 (37233-110-01) - BLUE / 90","유아동의류","유아의류아우터","영유아점퍼"
"3426",482599,"스포츠웨어 에어 포스 1 조거 NIKE AH2031-010 - 100","스포츠패션","남성일반스포츠의류","남성일반스포츠바지"
"3459",439119,"샤멘느 SA 토닉 (두피 진정 토닉)","퍼스널케어","헤어케어","샴푸"
"3542",18684,"포스트스웻 맨투맨 (KMU16283) - 네이비(N4) / 100","스포츠패션","남성등산/아웃도어의류","남성등산티셔츠"
"3565",815057,"태슬 레이스 린넨 커튼","인테리어/조명","커튼/블라인드류","커튼"
"3599",815126,"내추럴베이비스킨케어크림","출산/육아용품","유아스킨/바디케어","유아용화장품"
"3626",797911,"SoftTouch PPSU 젖병 노꼭지 트윈팩(240ml_오렌지x2개입+젖꼭지2개입) - 01_PPSU 240mlx2+SSx2","출산/육아용품","수유/이유용품","젖병/젖꼭지"
"3644",798474,"-국산- 대형 빅트럭 모래놀이세트","완구","여아완구","역할놀이"
"3691",752660,"[궁중비책]수딩 파우더 25 (NEW)_GBKG2209 - 없음/12241226/","출산/육아용품","유아스킨/바디케어","유아용화장품"
"3763",828647,"[크리비아]내추럴 기본형 슬립 ccs5902a - 스킨 / XL","속옷/양말/홈웨어","여성속옷","슬립"
"3764",827781,"[참예과] 속이 꽉차고 맛좋은 찰토마토 5kg (4~5번) / 소과","과일","국산과일","토마토"
"3774",477809,"[하이시에라] 키즈데일리18 소풍가방 아동가방 키즈백팩 아동백팩 쌤소나이트신규브랜드 2시이전당일발송 - 레드네이비","아웃도어/레저","등산","배낭"
"3799",476123,"언발 부츠컷 팬츠 - 데님/110호","유아동의류","남아의류하의","남아바지"
"3852",481300,"퍼펙트 선스틱 1+1  / 선크림 1+1 (7종 택 1) - 06 퍼펙트 페이스 멀티선 50g 2개","화장품/뷰티케어","선케어","선크림류"
"3858",477802,"엘리 여성 스니커즈 운동화 HT8G402 11종택일 - HT8G 402G3 / 37(235mm~240mm)","패션잡화","여성화","여성스니커즈"
"3912",290583,"미지코런던밑단해지청반바지 T6HM9P71_JE - JE / 110","유아동의류","남아의류하의","남아바지"
"3915",246922,"면100수 소프트밴드 남성 면사각팬티(VMP0701D)MR,NB - [1046038069]마론/100","속옷/양말/홈웨어","남성속옷","남성팬티"
"3928",304383,"가을 남자 등산복바지 작업복바지_(BMP81403) - 베이지 / 40","스포츠패션","남성등산/아웃도어의류","남성등산바지"
"3979",800562,"[포그내] 올가플러스 힙시트 아기띠(color:버섯)","출산/육아용품","유아발육용품","아기띠/캐리어"
"4016",809546,"SHE-320XL / 81cm LEDTV / 100%무결점 삼성패널 2년무상보증","영상/음향가전","TV","LED"
"4035",822976,"[LAKEN]라켄 자누 트라이탄 0.45리터 마르셀로 네오 어린이 물통 물병","아웃도어/레저","등산","기타등산용품"
"4085",715077,"플레이도 클래식 칼라도우 8팩(A7923)","완구","교육완구","미술/창작완구"
"4099",712486,"JACO 기능성 언더레이어 민소매 JACO5117 - 레드 / XL","스포츠패션","남성일반스포츠의류","남성스포츠티셔츠"
"4158",721288,"세비엄 매트 컨트롤 30ml","화장품/뷰티케어","스킨케어","크림/밤/오일"
"4170",661193,"컨셉원 117901 히든밴딩 울 스트레치 슬랙스(10117901) - 08콜그레이 / 34","남성의류","남성의류하의","남성정장바지"
"4205",834049,"비오틴 10000 90정 1병(3개월분)","건강식품","영양제","기타영양제"
"4274",423100,"21929100 크루 CREW 화이트 남녀공용 샌들 - 화이트 / uk7(260mm)","스포츠패션","여성스포츠화","여성런닝/트레이닝화"
"4337",819930,"롯데월드 After4(오후4시이후) 자유이용권 1인 입장권(문자발송/당일사용가능)","상품권","모바일상품권","레저모바일상품권"
"4370",827851,"가을/겨울 트렌드 립스틱 - 런웨이 히트","화장품/뷰티케어","메이크업","립스틱/립라이너"
"4372",820945,"로 겐조 뿌르옴므 (EDT) 30ml /르빠겐조","화장품/뷰티케어","향수","남성향수"
"4376",76619,"NF6KJ39J 슈퍼 칼로나 레깅스 BLK - BLK(블랙) / 65(S)","스포츠패션","여성일반스포츠의류","여성스포츠티셔츠/탑"
"4383",742710,"프로텍티브 페이스 베이스 SPF50/PA+++ 50ml","화장품/뷰티케어","메이크업","메이크업베이스/프라이머"
"4404",765516,"[아이패드에어2] 누드젤리 케이스 아자케이스 - 투명","모바일","모바일액세서리","케이스/보호필름"
"4408",757501,"커튼레일 8자 120~240cm","인테리어/조명","커튼/블라인드류","커튼링/커튼봉/부속품"
"4422",693567,"남성 히든밴딩 TR 슬림 슬랙스 (10117508) - (64) / 35","남성의류","남성의류하의","남성캐주얼바지"
"4451",775418,"엑스트라 디멘션 스킨피니시 - 슈퍼브","화장품/뷰티케어","메이크업","BB/파운데이션/컴팩트류"
"4469",742768,"더블 엔디드 앵글드 아이브로우 앤 아이래쉬 브러쉬 274","화장품/뷰티케어","미용소품","기름종이"
"4472",762967,"[JORDAN]조던슬링백(NLS14ZEC14-RE) - 레드(RE)","패션잡화","캐쥬얼가방","아동용가방"
"4499",734943,"아쿠아볼릭 리프레싱 워터 (150ml) - 없음","화장품/뷰티케어","스킨케어","스킨/토너"
"4533",483585,"슬림핏 오피스 팬츠 JI3E0SL80 - 470(네이비) / 66","여성의류","여성의류하의","여성바지"
"4542",480969,"난닝구 베카 쉬폰롱셔츠 - 블랙(black)-FREE","여성의류","여성의류상의","여성남방셔츠"
"4597",394684,"포켓 원피스(NGOPHE91) - 아이보리 / 66","여성의류","여성의류전신","여성원피스"
"4608",384364,"[핑크시슬리]올웨이스 반팔Tee - 연핑크 LightPink / F","여성의류","여성의류상의","여성티셔츠/탑"
"4653",376883,"리가 스트라이프 트레이닝 세트 KDD5910 - 그레이(931) / 110","유아동의류","남아의류세트","남아의류세트"
"4656",374796,"쉬즈미스 ★정상인하★ 원피스 4종 택1_YSH2E0410LC04 - 02_SWWOPH22030_네이비 / 77","여성의류","여성의류전신","여성원피스"
"4705",356343,"잇슬림 1식 (300샐러드)(1주)","냉동식품","냉동간편식","기타냉동간편식"
"4727",310191,"크록스 키즈 범프 잇 클로그 네이비 202282-43W 샌들 슬리퍼 - 202282-43W / 220mm(J3)","패션잡화","유아동화","유아동샌들"
"4757",299472,"남성슬랙스반바지10120-051-404-51 - 네이비(300) / 34","남성의류","남성의류하의","남성캐주얼바지"
"4765",520193,"크록스공식 여성 LEIGH II X-STRAP WEDGE 2종택1(18SS204949) - 01_OYSTER_COBBLESTONE(Z1C4) / W6(230)","시즌스포츠","수영/물놀이","아쿠아슈즈"
"4804",207058,"베이비 남아 포켓 쇼츠 반바지 5238234141051 - 24M","속옷/양말/홈웨어","유아동양말류","유아동타이즈"
"4822",360694,"[지오다노] 418507 여 폴리 와이드 슬랙스 - 66네이비 / L","남성의류","남성의류하의","남성캐주얼바지"
"4900",790907,"치석케어 치약 120G 9입 (옵션) - 01 치석치약 오리지널 6입+화이트 3입","퍼스널케어","구강케어","치약"
"4903",804133,"Loafer_Murie_R1461_1cm - Black / 225","패션잡화","여성화","여성슬리퍼"
"4958",707506,"로얄캐닌 키튼 인스팅티브 젤리 파우치 85G","원예/애완","고양이용품","고양이간식"
"4991",666970,"여성 치노 쇼트팬츠(MSX2PH2901) - BK / 67(26)","남성의류","남성의류하의","남성캐주얼바지"
"5025",232987,"린넨카라블라우스/M4544 - Navy / Free","여성의류","여성의류상의","여성남방셔츠"
"5028",218305,"여성 컬러블럭 워터 레깅스 DWSB1V731 - 블랙[BK] / L","시즌스포츠","수영/물놀이","여성비치웨어"
"5029",217600,"(6월)옴므 블랙 퍼펙트 플루이드 세트 - 없음","화장품/뷰티케어","남성케어","남성스킨케어세트"
"5064",741797,"디올스킨 포에버 컴팩트 파운데이션 스폰지","화장품/뷰티케어","미용소품","기름종이"
"5086",824436,"마이도기 오리꽈배기 300g (실중량: 160g)","원예/애완","애견용품","애견간식"
"5091",844863,"여성시계 LA680WA-1B 메탈 밴드 - LA680WA-1B","패션잡화","시계","스포츠시계"
"5131",748630,"보타닉가든 대접시 27cm BG05052","식기/조리기구","그릇/식기","접시"
"5160",685780,"나이키 팀 트레이닝 웨이스트백/BA4925-001/힙색/힙쌕/가방/허리색/허리쌕/여행가방 - BA4925-001 블랙 / FREE","스포츠패션","스포츠잡화","스포츠가방"
"5171",732628,"지오지아 라운드 프린트 반팔티셔츠 ABV2TR1126GN - ABV2TR1126GN / 90","남성의류","남성의류상의","남성티셔츠"
"5186",789539,"아기물티슈 인디핑크 캡형 72매X10팩 IC10 - 인디핑크 캡형 72매X10팩","출산/육아용품","유아위생용품","유아용물티슈"
"5252",755305,"올스타 DTP 벨크로커튼70x140(찍찍이/붙이는커튼) - 스트라이프 그레이","인테리어/조명","커튼/블라인드류","커튼"
"5257",751770,"패턴조직 자켓 M152MJK202M1BR2 - M152MJK202M1BR2 / 00L","남성의류","남성의류아우터","남성캐주얼재킷"
"5299",760779,"L2 노트북거치대 스탠드 - Dark Gray","모바일","모바일액세서리","기타모바일액세서리"
"5339",757646,"멀티포트 겸용 라면포트 MO-NP188","생활/주방가전","주방가전","전기냄비/뚝배기"
"5345",371664,"[15SS] CLIMBING (클라이밍) 남성 라운드 티셔츠Ⅰ DMP15225 - Z1(블랙) / 110(XXL)","스포츠패션","남성등산/아웃도어의류","남성등산티셔츠"
"5384",339827,"우먼 트레이닝 테크 패턴 스윔슈트 블랙/블랙 리프 (BWHWSWO002D39XS) - 블랙블랙리프 / Medium","시즌스포츠","수영/물놀이","여성수영복"
"5423",324536,"로즈워터 젤 크림 80ml","화장품/뷰티케어","스킨케어","크림/밤/오일"
"5446",281014,"플루이드클라우드 CG3820 외2종 - 남회색260","스포츠패션","여성일반스포츠의류","여성트레이닝복"
"5466",242744,"SA3151 니트라인 여행용 코르크 샌들/슬리퍼 4종 - 올리브(카키) / 260","패션잡화","여성화","여성쪼리"
"5486",744407,"MLB키즈 BASIC 로고 메쉬 CAP 72CPM1711-50N - F3(53~55)","패션잡화","모자","아동모"
"5516",728073,"여아 싱글 6부레깅스(PP1YL341GSN) - 네이비 / 110","유아동의류","여아의류하의","여아레깅스"
"5519",734531,"[신상품]기본오리지날밴드캡(32CP12311 01N) - 57 / 네이비","패션잡화","모자","군모"
"5524",783785,"모던무지기모덧신/기모덧신/보온덧신/요술버선/겨울덧신/보온양말/남자덧신 - YS92-1_블랙","속옷/양말/홈웨어","남성양말류","남성덧신류"
"5588",577780,"아디다스 프리리프트 프라임 티 (CF3936) - CF3936_블랙 / 080(2XS)","스포츠패션","여성일반스포츠의류","여성스포츠티셔츠/탑"
"5604",476295,"여아 레이스반팔 소매티(M1722T124_53) - 140","유아동의류","여아의류상의","여아티셔츠/탑"
"5676",827624,"[5000 시리즈 파워 터치 S5370/06]","생활/주방가전","이미용가전","전기면도기"
"5712",12117,"AVT-201 자전거 긴팔티셔츠  - 먹색 / XL","여성의류","여성의류상의","여성티셔츠/탑"
"5714",5705,"[정상가 16,500원]빈야드 피치 바디 로션 250ML(57914)","퍼스널케어","바디케어","바디보습"
"5729",821312,"락앤락 슬림양념통8P세트(HPL949S8)","식기/조리기구","밀폐/보관용기","반찬통/밀폐용기"
"5761",808510,"그린 릴리프 선쿠션 SPF43 PA+++ 12g","출산/육아용품","유아스킨/바디케어","유아용화장품"
"5805",495776,"NJ3LJ00S 린덴 자켓 - 올리브 / 120","스포츠패션","유아동일반스포츠의류","유아동스포츠스웨트셔츠/후드/집업"
"5852",402039,"남여공용 스웻 하프집업 반팔후드티(URBAN FIT) - NBMH82E823 - 블랙(BK) / 105(XL)","스포츠패션","남성일반스포츠의류","남성스포츠티셔츠"
"5980",522541,"[빈폴멘] 네이비 코튼 스트라이프 라운드넥 티셔츠 (BC8241C11R) - 남색 / 100","남성의류","남성의류상의","남성티셔츠"
"6023",832536,"클립보드 메모패드[홀마크] - SOM3490","문구/사무용품","일반문구/사무용품","기타일반문구/사무용품"
"6048",808839,"스스로굴러가는깜짝볼스마트[한영버전]","완구","여아완구","봉제인형"
"6056",809489,"JMW MA6001A 토네이도 항공모터 드라이기 - [LB125] JMW MA6001A","생활/주방가전","이미용가전","헤어드라이어"
"6070",136695,"[우미슈즈]여름샌들 10종 택 1 - 02.뉴애들린-골드 / 21/140mm","패션잡화","유아동화","유아동샌들"
"6227",805209,"에코랜드 손가락 칫솔","원예/애완","애견용품","애견목욕/위생용품"
"6360",808052,"셀린 원목 1단 4칸책장(레드파인) - 워시","가구","사무용/학생용가구","책장"
"6390",772693,"디노 원목 의자(1+1)","가구","주방가구","식탁의자"
"6392",769184,"하성 프로 PRO HS-303 NEW 애완 이발기","원예/애완","애견용품","애견목욕/위생용품"
"6396",752133,"[라핀블랑]세탁세제&섬유유연제 400ml 체험단 이벤트!! - 라핀블랑 울겸용세제 딜라이트 400ml","세제/위생","세탁세제","분말세탁세제"
"6412",726355,"냉감 쿨스킨 남성 스트라이프 반팔 라운드 티셔츠(M81ST011M)/냉감티/쿨티/여름티/반팔티/남성티/무지티/운 - 화이트 / 100","스포츠패션","남성등산/아웃도어의류","남성등산티셔츠"
"6447",751444,"글로우 플로어 치크 - 06호 (C521A)","화장품/뷰티케어","메이크업","블러셔/쉐이딩/하이라이터"
"6463",755014,"2017 NEW 메이크업 세팅 스프레이 트래블 30ml","화장품/뷰티케어","메이크업","메이크업베이스/프라이머"
"6517",354673,"V넥 프릴 꽃 쉬폰 원피스 (AJGWO070) - 민트 / F","여성의류","여성의류전신","여성원피스"
"6534",695445,"그라데이션 레깅스 P7WSL4992 - FREE / GREEN","속옷/양말/홈웨어","홈웨어","여성잠옷"
"6546",344547,"핑크 가죽 파우치WAE1000H - 핑크 / FREE","패션잡화","캐쥬얼가방","소품가방"
