"","CLNT_ID","SESS_ID","SESS_SEQ","SESS_DT","TOT_PAG_VIEW_CT","TOT_SESS_HR_V","DVC_CTG_NM","ZON_NM","CITY_NM"
"27222",5324955,7851971,52,20180522,17,"238","mobile","Chungcheongnam-do","Yeongi-gun"
"27223",5324955,6594491,66,20180612,33,"1,637","mobile","Chungcheongnam-do","Yeongi-gun"
"27233",5249394,2798718,246,20180814,273,"1,385","mobile","Gyeonggi-do","Yangju-si"
"27234",5249394,10924311,218,20180401,39,"161","mobile","Gyeonggi-do","Yangju-si"
"27235",5249394,2735181,247,20180815,99,"314","mobile","Gyeonggi-do","Yangju-si"
"27236",5249394,3716730,243,20180729,55,"295","mobile","Gyeonggi-do","Yangju-si"
"27237",5249394,8341735,223,20180514,212,"1,316","mobile","Gyeonggi-do","Yangju-si"
"27537",2273399,6230308,1169,20180618,10,"48","mobile","Daegu","Daegu"
"27592",2391435,5234606,110,20180704,113,"757","mobile","Gyeonggi-do","Hwaseong-si"
"27642",2329205,10109199,23,20180415,163,"3,201","mobile","Daejeon","Daejeon"
"27696",6586016,1171951,21,20180911,32,"195","mobile","Gyeonggi-do","Gwangju-si"
"27697",6586016,230984,27,20180927,82,"565","mobile","Gyeonggi-do","Gwangju-si"
"28228",3150352,1863247,6,20180830,239,"809","mobile","Gyeongsangnam-do","Tongyeong-si"
"28229",3150352,162049,11,20180928,118,"1,061","mobile","Gyeongsangnam-do","Tongyeong-si"
"28289",1339167,7444201,295,20180529,190,"3,133","mobile","Seoul","Seoul"
"28290",1339167,5617019,373,20180628,73,"1,103","mobile","Daegu","Daegu"
"28291",1339167,7197431,316,20180602,145,"6,193","mobile","Seoul","Seoul"
"28292",1339167,10812856,228,20180403,183,"1,733","mobile","Seoul","Seoul"
"29097",5396148,1835657,90,20180831,32,"402","mobile","Gyeongsangnam-do","Gimhae-si"
"29098",5396148,1138302,102,20180911,14,"201","mobile","Gyeongsangnam-do","Gimhae-si"
"29099",5396148,7319237,82,20180531,41,"614","mobile","Gyeongsangnam-do","Gimhae-si"
"29243",5167261,2359123,3,20180821,23,"166","mobile","Seoul","Seoul"
"29894",5675168,6822432,16,20180608,25,"384","mobile","Daegu","Daegu"
"30214",94048,7140267,156,20180603,168,"2,090","mobile","Seoul","Seoul"
"30215",94048,8162678,31,20180517,68,"514","mobile","Seoul","Seoul"
"30216",94048,8418854,14,20180513,61,"3,831","mobile","Seoul","Seoul"
"30217",94048,7275597,141,20180601,72,"475","mobile","Seoul","Seoul"
"30218",94048,7177444,153,20180602,147,"1,319","mobile","Seoul","Seoul"
"30415",4903621,3714230,64,20180729,48,"376","mobile","Seoul","Seoul"
"30416",4903621,6614734,56,20180612,67,"928","mobile","Seoul","Seoul"
"30456",4913346,4050555,31,20180724,27,"307","mobile","Seoul","Seoul"
"30457",4913346,4099463,29,20180723,60,"904","mobile","Seoul","Seoul"
"30586",1636031,7025445,159,20180605,54,"648","mobile","Gyeonggi-do","Gimpo-si"
"30590",1630946,9637187,71,20180423,179,"2,312","mobile","Seoul","Seoul"
"30591",1630946,9074430,78,20180502,54,"382","mobile","Seoul","Seoul"
"30646",1577456,8177831,3,20180517,65,"1,374","mobile","Incheon","Incheon"
"30650",1581306,4052704,5,20180724,42,"1,743","mobile","Seoul","Seoul"
"30690",1601619,5252207,58,20180704,35,"524","mobile","Seoul","Seoul"
"30742",1493409,9711079,5,20180421,62,"1,012","mobile","Seoul","Seoul"
"30747",1500264,5714818,5,20180626,89,"2,308","mobile","Seoul","Seoul"
"30865",2092679,2266555,20,20180823,66,"571","mobile","Seoul","Seoul"
"30882",5271566,10853506,2,20180402,17,"146","mobile","Daegu","Daegu"
"31238",3078388,4491708,105,20180716,20,"102","mobile","Seoul","Seoul"
"31239",3078388,5896628,97,20180623,14,"140","mobile","Gyeonggi-do","Anyang"
"31240",3078388,7487402,79,20180528,48,"225","mobile","Seoul","Seoul"
"31241",3078388,7921431,73,20180521,31,"751","mobile","Seoul","Seoul"
"31317",358795,9863938,92,20180419,29,"350","mobile","Chungcheongbuk-do","Okcheon-gun"
"31328",369329,1246706,169,20180910,48,"356","mobile","Seoul","Seoul"
"31329",366771,5652871,29,20180627,21,"587","mobile","Seoul","Seoul"
"31437",497666,8722600,371,20180508,13,"147","mobile","Seoul","Seoul"
"31472",719813,9090880,49,20180502,27,"512","mobile","Gyeonggi-do","Bucheon-si"
"33153",2005862,8519231,35,20180511,22,"303","mobile","Gwangju","Gwangju"
"33154",2005862,5829375,44,20180625,61,"1,129","mobile","Gwangju","Gwangju"
"33197",2029542,2934562,2,20180812,26,"462","mobile","Busan","Busan"
"34008",3043999,3188403,65,20180807,404,"6,333","mobile","Daegu","Daegu"
"34575",3767994,8116944,1,20180518,64,"408","mobile","Gyeonggi-do","Anyang"
"34795",5468517,9201182,30,20180430,10,"93","mobile","Gyeonggi-do","Goyang-si"
"34796",5468517,3939481,37,20180726,98,"972","mobile","Gyeonggi-do","Goyang-si"
"34809",5405063,9431935,28,20180426,72,"424","mobile","Seoul","Seoul"
"35073",3498735,6552936,1,20180613,57,"647","mobile","Jeollanam-do","Hwasun-gun"
"35280",3517515,5371858,5,20180702,53,"1,109","mobile","Seoul","Seoul"
"35480",4865222,10794857,8,20180403,49,"1,982","mobile","Gyeongsangnam-do","Yangsan-si"
"35481",4865222,726550,59,20180918,83,"1,250","mobile","Gyeongsangnam-do","Yangsan-si"
"35884",3294403,10202911,23,20180413,416,"6,622","mobile","Busan","Busan"
"36051",5139866,9918764,9,20180418,31,"2,295","mobile","Seoul","Seoul"
"36052",5139866,9910600,10,20180418,48,"492","mobile","Seoul","Seoul"
"36513",1076188,10464051,36,20180409,7,"105","mobile","Seoul","Seoul"
"36682",5592709,9986903,8,20180417,20,"408","mobile","Seoul","Seoul"
"36683",5592709,9811748,10,20180420,164,"1,622","mobile","Seoul","Seoul"
"36791",5585787,7816351,4,20180523,20,"1,407","mobile","Seoul","Seoul"
"37086",4056032,2235634,159,20180824,62,"950","mobile","Gyeongsangbuk-do","Gumi-si"
"37237",40279,742079,76,20180918,62,"1,530","mobile","Seoul","Seoul"
"37238",40279,1637166,33,20180903,176,"502","mobile","Seoul","Seoul"
"38138",5655700,5690248,60,20180627,318,"4,495","mobile","Seoul","Seoul"
"38139",5655700,5453831,70,20180701,31,"169","mobile","Seoul","Seoul"
"38205",5663705,3625087,7,20180731,37,"294","mobile","Seoul","Seoul"
"38217",3130909,10529168,31,20180408,31,"353","mobile","Gyeongsangnam-do","Haman-gun"
"38354",3531703,9906603,40,20180418,64,"484","mobile","Seoul","Seoul"
"38668",5341215,8302541,8,20180515,65,"707","mobile","Seoul","Seoul"
"38695",5345704,3781417,5,20180728,18,"304","mobile","Seoul","Seoul"
"38696",5345704,3971231,2,20180725,20,"280","mobile","Seoul","Seoul"
"39017",3233035,2255442,29,20180823,50,"709","mobile","Chungcheongnam-do","Cheonan-si"
"39018",3233035,2254715,30,20180823,26,"274","mobile","Chungcheongnam-do","Cheonan-si"
"39019",3233035,3330251,20,20180805,19,"357","mobile","Chungcheongnam-do","Cheonan-si"
"39052",3239185,267574,12,20180926,37,"441","mobile","Seoul","Seoul"
"39053",3239185,11550,14,20180930,18,"298","mobile","Seoul","Seoul"
"39141",3342545,3923657,25,20180726,11,"31","mobile","Chungcheongnam-do","Cheonan-si"
"39142",3342545,3931074,24,20180726,196,"2,354","mobile","Chungcheongnam-do","Cheonan-si"
"39658",3380714,125577,4,20180929,35,"1,444","mobile","Seoul","Seoul"
"39888",5691579,5853611,3,20180624,25,"271","mobile","Seoul","Seoul"
"39889",5691579,5923334,2,20180623,55,"1,297","mobile","Seoul","Seoul"
"40012",5470696,1187060,90,20180911,93,"926","mobile","Seoul","Seoul"
"40027",5470536,3041240,74,20180810,27,"150","mobile","Seoul","Seoul"
"40028",5470536,6139500,10,20180619,128,"3,383","mobile","Seoul","Seoul"
"40029",5470536,5749680,17,20180626,75,"600","mobile","Seoul","Seoul"
"40030",5470536,3725281,29,20180729,47,"468","mobile","Seoul","Seoul"
"40031",5470536,4908750,25,20180710,40,"465","mobile","Seoul","Seoul"
