10720 VA Stoneleigh 18 semi 1992 30 30 30 30 6728 72.6 72 12 12 n y
6976 MO New_Melle_Lakes 18 pub 1991 28 20 38 30 6348 69.9 71 0 0 n n
5142 MI Oak_Lane 18 pub 1967 15 8.5 18 8.5 5714 67.3 70 18 9 n y
4271 PA Pine_Hills_Pitch&Putt 9 pub 1960 . 3 . 3 1110 . 27 8 4 n y
785 OH Blacklick_Woods_Reg 18 pub 1973 16 16 16 16 6819 72.2 72 18 9 n y
2618 CA Bijou_Municipal 9 pub 1920 . 12 . 12 2016 . 32 2 2 n n
9429 GA Berkley_Hills/King_Hills 18 priv 1971 40 40 50 40 6561 72 72 10 6.75 n y
8785 TX Dupont_Employment 18 priv 1965 12 12 15 12 6385 69.8 71 10 7.5 n y
1108 OH Loyal_Oak_1-2 18 pub 1928 14.5 8 17 8 6245 69.1 70 18 9 n n
7252 TN Montlake 18 pub 1990 18 10 23 10 5850 . 71 0 0 n y
5604 CO La_Junta 9 pub 1950 . 12 . 12 3281 69.9 35 15 10 n n
10124 HI Sandalwood 18 pub 1992 75 40 75 40 6469 70.6 72 0 0 n y
10256 VT Proctor-Pittsford 18 semi 1927 27 15 27 15 6052 69.4 70 21 12 n y
3262 CA San_Francisco_GC 18 priv 1915 35 35 35 35 6716 73 71 . . y y
10658 VA Mount_Vernon 18 priv 1961 25 25 35 25 6281 70.7 70 20 12 n y
626 LA Caldwell 9 priv . . 10.8 . 10.8 3051 . 35 14 7 n y
11289 IL Shady_Lawn_south/center 18 semi 1971 19 9.75 26 9.75 6423 . 72 24.5 13 n y
1169 OH New_Albany_E/N 18 priv 1992 60 30 60 30 7176 70.1 72 13.5 6.75 y y
11559 NJ Little_Mill_red/white 18 priv 1968 60 30 60 30 6774 72.3 71 15 11 n y
8638 TX Bear_Creek/Challenger 18 pub 1969 18 18 32 18 5295 64.2 66 0 0 n y
2825 CA Gilroy 11 pub 1924 . 14 . 14 3016 67.8 34 22 12 n y
10113 HI vy_Marine 18 mili 1948 40 20 40 20 6771 72.2 72 20 10 n y
815 OH Brookside 18 pub . 13 7.5 14 7.5 6356 69.8 71 17 18.5 n y
4742 MI Cheboygan 18 pub 1922 23 13 23 13 6003 69.3 70 12 7 n y
578 AK Anchorage_G&CC 18 pub 1987 38 27 38 27 6616 72.1 72 24 16 n y
7969 FL Lost_Tree 18 priv 1964 75 75 75 75 6987 72.9 72 32 16 n y
3362 CA Sun_City_Palm_Desert 18 semi 1992 75 75 75 75 6270 73 72 0 0 n y
12895 IA Tara_Hills 9 pub 1985 . 12 . 12 3083 69 36 16 9 n n
11630 NJ Ramblewood_white/blue 18 pub 1962 28 28 35 28 6624 71.1 72 15.5 13.5 n y
12929 IA Webster_City 9 semi 1973 . 9 . 9 3047 . 36 . . n y
13569 NY "Scott's_Oquaga_Main_course" 9 resort . . 9.5 . 9.5 3085 . 36 19 11 n y
8902 TX Hillsboro 9 semi 1935 . 7.5 . 7.5 2904 70 36 16 8 n n
1609 AZ Lakes_West_at_Sun_City 18 priv 1970 25 16 25 16 6251 68.6 72 15 9 n y
13123 NY Cranebrook 9 pub . . 7 . 7 1853 . 31 14 10 n n
14602 NC Kenmure 18 priv 1981 55.7 22.5 55.7 22.5 6509 71.2 72 0 0 n y
14731 NC Pinehurst_#5 18 resort 1961 100 100 100 100 6827 73.4 72 19 19 y y
8588 MT Valley_View 18 priv . 35 20 35 20 6262 68.7 70 18 11 n y
9706 GA Polo_Golf_&_CC 18 priv 1989 35 35 50 35 6558 72.5 72 11 6 n y
12774 IA Mason_City 18 priv 1915 25 25 25 25 6199 69.5 72 18 10 n y
8545 MT Great_Falls_Municipal 18 pub . 16 11 16 11 6525 69.6 72 15 9 n y
13532 NY Rockville_Links 18 priv 1924 40 20 50 20 6257 70.3 72 15 9 y y
1219 OH Pine_Valley 18 pub 1961 14 9 17 9 6097 68.5 72 18 9 n y
11267 IL Rolling_Hills_GC 18 pub 1964 12.5 7 15 7 5718 65.9 71 9.5 5 n y
6084 MN Silver_Bay_CC 9 semi . . 12 . 12 3118 . 36 18 10 n n
263 KY Ballard_County 18 priv 1968 20 20 25 20 6292 67.9 72 17 8.5 n n
5204 MI The_Pines 18 pub 1969 16 9.5 17 9.5 5542 67.3 70 19 10 n y
5152 MI Ocea 18 priv 1960 17 9.5 17 9.5 6072 70 73 9.5 5.75 n y
11558 NJ Little_Mill_blue/red 18 priv 1968 60 30 60 30 6579 71.6 71 15 11 n y
8229 FL River_Ridge 18 semi 1981 16 10 16 10 4280 61 65 0 0 n y
12592 IA Ames_G&CC 18 priv 1974 50 50 50 50 6515 72.1 71 18 10 n y
7071 MO Tri-city 9 priv 1965 . 8 . 8 2953 66 36 18 9 n n
11606 NJ Packack 9 priv 1964 . 10 . 10 3011 69.2 36 13 6.5 n y
14488 NC Cypress_Landing 18 semi 1996 30 18 36 18 6849 71.3 72 0 0 n y
5007 MI Iron_River 9 semi 1932 . 12 . 12 3198 70.2 36 18 12 n n
11008 IL Hughes_Creek 18 pub 1992 18 12 24 12 6506 70.9 72 24 14 n y
13897 WI Koshkonong_Mounds 18 semi 1944 19.5 11.5 23 11.5 6431 70 71 21 10.5 n n
8413 FL Timuqua 18 priv 1923 25 25 30 25 6592 71.2 72 15 7.5 y y
2006 OK Shadow_Creek 18 semi 1984 10 10 12 10 6154 70 71 17.2 8.6 n y
1079 OH Lakeland/Fostoria 18 pub 1960 13 9 14 9 5485 66.1 70 18 9 n n
1307 OH Shawnee_CC 18 priv 1904 40 40 40 40 6279 70.1 72 25 12.5 y y
4140 PA Macoby_Run 18 pub 1991 11 7 18 7 6238 69.7 72 18 10 n n
13474 NY Pioneer_Hills 9 pub 1995 . 10 . 10 2662 . 35 20 10 n n
9413 GA Augusta_CC 18 priv 1899 50 50 50 50 6737 72.6 72 10.5 5.25 n y
3131 CA Pajaro_Valley 18 pub 1928 40 40 55 40 6234 72.1 72 26 26 n y
9896 NE Miller_Park 9 pub . . 5.25 . 5.25 1337 . 27 . . n y
12979 NY Beaver_Island_SP 18 pub 1935 14 8 17 8 6595 72.1 72 20 12 n y
11554 NJ Lato_CC 9 pub 1964 . 11 . 11 3060 70.6 35 12 12 n n
